round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.6736091512241134,0.7631578947368421,0.7435897435897436,0.7837837837837838,
2,0.6744781817030064,0.7591240875912408,0.8253968253968254,0.7027027027027027,
3,0.6749159170220947,0.76,0.75,0.7702702702702703,
4,0.6750642746607276,0.76,0.75,0.7702702702702703,
5,0.6748680607091944,0.7612903225806451,0.7283950617283951,0.7972972972972973,
6,0.6747550509286857,0.76,0.75,0.7702702702702703,
7,0.6745202041323063,0.76,0.75,0.7702702702702703,
8,0.6751882354610181,0.76,0.75,0.7702702702702703,
9,0.674680677296074,0.76,0.75,0.7702702702702703,
10,0.6747896602889083,0.76,0.75,0.7702702702702703,
11,0.6754792076999705,0.76,0.75,0.7702702702702703,
12,0.6747014908776666,0.7591240875912408,0.8253968253968254,0.7027027027027027,
13,0.6742666243801074,0.76,0.75,0.7702702702702703,
14,0.6747784367054904,0.76,0.75,0.7702702702702703,
15,0.6747107448182735,0.7591240875912408,0.8253968253968254,0.7027027027027027,
16,0.6746856344982815,0.7591240875912408,0.8253968253968254,0.7027027027027027,
17,0.6746941288011219,0.76,0.75,0.7702702702702703,
18,0.6746051457237036,0.76,0.75,0.7702702702702703,
19,0.6748044594230449,0.76,0.75,0.7702702702702703,
20,0.6749080389407505,0.76,0.75,0.7702702702702703,
