round,val_auprc,val_f1,val_precision,val_recall,train_loss
1,0.6407623496245002,0.76,0.75,0.7702702702702703,
2,0.6431950903878452,0.7612903225806451,0.7283950617283951,0.7972972972972973,
3,0.6422064108157813,0.76,0.75,0.7702702702702703,
4,0.6436055035273573,0.7662337662337663,0.7375,0.7972972972972973,
5,0.6442510222657131,0.7612903225806451,0.7283950617283951,0.7972972972972973,
6,0.6441551031224032,0.7612903225806451,0.7283950617283951,0.7972972972972973,
7,0.6434737059088086,0.7612903225806451,0.7283950617283951,0.7972972972972973,
8,0.6431010004734456,0.7612903225806451,0.7283950617283951,0.7972972972972973,
9,0.6438248497650609,0.76,0.75,0.7702702702702703,
10,0.6441463732969812,0.76,0.75,0.7702702702702703,
11,0.6467089118043956,0.76,0.75,0.7702702702702703,
12,0.6443380329432903,0.7612903225806451,0.7283950617283951,0.7972972972972973,
13,0.6454638082331908,0.76,0.75,0.7702702702702703,
14,0.6443746673888117,0.7612903225806451,0.7283950617283951,0.7972972972972973,
15,0.6442341295753758,0.76,0.75,0.7702702702702703,
16,0.6443928604760635,0.76,0.75,0.7702702702702703,
17,0.6439932518581438,0.7612903225806451,0.7283950617283951,0.7972972972972973,
18,0.6431752887173854,0.76,0.75,0.7702702702702703,
19,0.6454809404098167,0.76,0.75,0.7702702702702703,
20,0.6442346870160949,0.76,0.75,0.7702702702702703,
