feature,client_0,mean
income,0.0791921,0.0791921
name_email_similarity,0.149032,0.149032
prev_address_months_count,0.00727605,0.00727605
current_address_months_count,0.184637,0.184637
customer_age,0.0360259,0.0360259
days_since_request,0.0180707,0.0180707
intended_balcon_amount,0.0667144,0.0667144
zip_count_4w,0.0447373,0.0447373
velocity_6h,0.00706645,0.00706645
velocity_24h,0.02074,0.02074
velocity_4w,0.0780113,0.0780113
bank_branch_count_8w,0.0115031,0.0115031
date_of_birth_distinct_emails_4w,0.0263696,0.0263696
credit_risk_score,0.0438919,0.0438919
email_is_free,0.135731,0.135731
phone_home_valid,0.187613,0.187613
phone_mobile_valid,0.0172425,0.0172425
bank_months_count,0.0157448,0.0157448
has_other_cards,0.150384,0.150384
proposed_credit_limit,0.0344485,0.0344485
foreign_request,0.00870524,0.00870524
session_length_in_minutes,0.0099209,0.0099209
keep_alive_session,0.163431,0.163431
device_distinct_emails_8w,0.0233215,0.0233215
prev_address_months_count_missing,0.221438,0.221438
bank_months_count_missing,0.000943572,0.000943572
current_address_months_count_missing,0,0
session_length_in_minutes_missing,0,0
device_distinct_emails_8w_missing,0,0
payment_type_AA,0.000337181,0.000337181
payment_type_AB,0.000531361,0.000531361
payment_type_AC,0.0137999,0.0137999
payment_type_AD,0,0
payment_type_AE,0,0
employment_status_CA,0.000175366,0.000175366
employment_status_CB,0.0234712,0.0234712
employment_status_CC,0.000126921,0.000126921
employment_status_CD,0.00837259,0.00837259
employment_status_CE,0.00812982,0.00812982
employment_status_CF,0.0125914,0.0125914
employment_status_CG,0,0
housing_status_BA,0.168332,0.168332
housing_status_BB,0.0262021,0.0262021
housing_status_BC,0.00046607,0.00046607
housing_status_BD,0.000549561,0.000549561
housing_status_BE,0.0451062,0.0451062
housing_status_BF,0.000120812,0.000120812
housing_status_BG,0,0
source_INTERNET,0,0
source_TELEAPP,0,0
device_os_linux,0.062716,0.062716
device_os_macintosh,0.0197547,0.0197547
device_os_other,0.0316527,0.0316527
device_os_windows,0.146528,0.146528
device_os_x11,5.75157e-05,5.75157e-05
