feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.194196,0.192215,0.179626,0.207248,0.216049,0.197867
name_email_similarity,0.33213,0.35245,0.339353,0.427859,0.417354,0.373829
prev_address_months_count,0.0041885,0.00348361,0.00155053,0.00431163,0.0081582,0.0043385
current_address_months_count,0.375875,0.512796,0.351457,0.376651,0.531781,0.429712
customer_age,0.0429279,0.0500066,0.0444745,0.0547851,0.0567831,0.0497954
days_since_request,0.0906789,0.36295,0.0350098,0.249611,0.22073,0.191796
intended_balcon_amount,0.0251597,0.0451746,0.0405583,0.0428051,0.0421653,0.0391726
zip_count_4w,0.230524,0.134453,0.151482,0.110541,0.119813,0.149363
velocity_6h,0.0188198,0.0193468,0.0204454,0.0374605,0.025424,0.0242993
velocity_24h,0.0158037,0.0178265,0.0161211,0.015923,0.0162555,0.016386
velocity_4w,0.213599,0.255487,0.205472,0.380418,0.29982,0.270959
bank_branch_count_8w,0.177658,0.0299339,0.286944,0.0262854,0.166046,0.137373
date_of_birth_distinct_emails_4w,0.0648647,0.0669423,0.0693345,0.0847812,0.0915941,0.0755034
credit_risk_score,0.0639704,0.0965696,0.072255,0.0816716,0.0976572,0.0824248
email_is_free,0.178587,0.200609,0.16883,0.10879,0.157106,0.162785
phone_home_valid,0.513699,0.490255,0.36001,0.570415,0.515088,0.489894
phone_mobile_valid,0.0239,0.0229993,0.0197194,0.0477215,0.0392996,0.0307279
bank_months_count,0.0260789,0.0327985,0.0365259,0.0391618,0.0339823,0.0337095
has_other_cards,0.24792,0.329996,0.29805,0.286109,0.286788,0.289772
proposed_credit_limit,0.0391544,0.0285278,0.0287488,0.0409555,0.0280091,0.0330791
foreign_request,0.0207129,0.0218681,0.0215094,0.0229134,0.0214784,0.0216964
session_length_in_minutes,0.00632572,0.0237573,0.0132679,0.00754587,0.0099848,0.0121763
keep_alive_session,0.275506,0.244597,0.205278,0.298412,0.26133,0.257025
device_distinct_emails_8w,0.0348222,0.0337057,0.0364772,0.0335032,0.0343849,0.0345787
prev_address_months_count_missing,0.314116,0.292516,0.265295,0.330434,0.286406,0.297753
bank_months_count_missing,0.000628795,0.00119841,0.000989115,0.000600494,0.00088372,0.000860107
current_address_months_count_missing,0,0.000351179,0,0,0.000325815,0.000135399
session_length_in_minutes_missing,0,0,0,0,0.000339159,6.78318e-05
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0.071444,0.0581174,0.0393837,0.0500157,0.0432479,0.0524417
payment_type_AB,0.000873593,0.000630435,0.000681651,0.000264388,0.000861745,0.000662362
payment_type_AC,0.0302791,0.0224725,0.0164981,0.00905906,0.00603344,0.0168684
payment_type_AD,0,0,0.000786727,0,0,0.000157345
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.0137542,0.0146183,0.00873561,0.00603911,0.00812169,0.0102538
employment_status_CB,0.059094,0.0721883,0.064338,0.0787431,0.0616594,0.0672046
employment_status_CC,0.000599959,0.000710032,0.00105547,0.00182912,0.000537195,0.000946355
employment_status_CD,0.0203533,0.0265182,0.0238675,0.028031,0.0286024,0.0254745
employment_status_CE,0.0166128,0.0193965,0.0173111,0.021006,0.0238788,0.019641
employment_status_CF,0.0316363,0.044852,0.0385692,0.0458607,0.0442345,0.0410305
employment_status_CG,0,0,0,0,0.000119367,2.38735e-05
housing_status_BA,0.342853,0.261428,0.460426,0.271088,0.248127,0.316784
housing_status_BB,0.0703562,0.0997141,0.0786575,0.101639,0.0693812,0.0839495
housing_status_BC,0.0137118,0.0190964,0.019448,0.00758615,0.0169283,0.0153541
housing_status_BD,0.000875632,0,0.000959065,0.00072023,0.000663487,0.000643683
housing_status_BE,0.0849598,0.125357,0.0966612,0.108063,0.110555,0.105119
housing_status_BF,0,0,0,0,0,0
housing_status_BG,0,0,0,0,0,0
source_INTERNET,0.00136526,0.000146702,0.000270667,0,0.00076669,0.000509865
source_TELEAPP,0.0013072,0.00233305,0.00266916,0.00155607,0.00322028,0.00221715
device_os_linux,0.115509,0.108087,0.117441,0.113012,0.102156,0.111241
device_os_macintosh,0.01161,0.0151652,0.0136018,0.022299,0.019347,0.0164046
device_os_other,0.0230583,0.0852145,0.0626481,0.0707204,0.075111,0.0633505
device_os_windows,0.285489,0.279254,0.394388,0.357566,0.396364,0.342612
device_os_x11,0,0,0.00010014,0,0,2.00281e-05
