feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.0107656,0.0129023,0.0130762,0.0119092,0.0141638,0.0125634
name_email_similarity,0.0201826,0.0240814,0.026553,0.0210919,0.0259443,0.0235706
prev_address_months_count,2.94122e-05,9.25274e-05,0.000299766,0.000112681,0.000108915,0.00012866
current_address_months_count,0.0159184,0.0203344,0.0179928,0.0180175,0.0245552,0.0193637
customer_age,0.00310805,0.00412559,0.0047592,0.00385706,0.00519785,0.00420955
days_since_request,0.00105244,0.00290686,0.000904432,0.00361322,0.00330215,0.00235582
intended_balcon_amount,0.0168531,0.0135479,0.0120791,0.0141584,0.0180792,0.0149436
zip_count_4w,0.00147448,0.00318848,0.00307341,0.00253637,0.00301101,0.00265675
velocity_6h,3.05863e-05,4.69142e-05,2.29011e-05,0.0002177,5.42901e-05,7.44783e-05
velocity_24h,3.43384e-06,6.88936e-06,2.64347e-05,4.94477e-06,3.0018e-05,1.43441e-05
velocity_4w,0.00580923,0.00626147,0.00542604,0.00656062,0.00667958,0.00614739
bank_branch_count_8w,0.0139283,0.0112454,0.0124398,0.0117297,0.0101501,0.0118987
date_of_birth_distinct_emails_4w,0.00351247,0.00391876,0.00408369,0.00340666,0.00415856,0.00381603
credit_risk_score,0.00452056,0.00494901,0.00621833,0.00509178,0.00570413,0.00529676
email_is_free,0.00582819,0.00796978,0.00701295,0.0058394,0.00698723,0.00672751
phone_home_valid,0.0232154,0.0242325,0.0195778,0.0226516,0.0194298,0.0218214
phone_mobile_valid,1.0931e-05,0,1.16911e-05,1.18187e-06,0,4.7608e-06
bank_months_count,0.000603473,0.0010889,0.00210059,0.000914335,0.00151297,0.00124406
has_other_cards,0.0178387,0.0114907,0.0139314,0.00993882,0.0112548,0.0128909
proposed_credit_limit,0.00252074,0.00250444,0.00223594,0.002818,0.00294807,0.00260544
foreign_request,9.60728e-05,4.29603e-05,1.62008e-05,0.000158574,7.62802e-05,7.80177e-05
session_length_in_minutes,4.48551e-05,9.73311e-05,0.00014025,0.000131529,0.000200912,0.000122975
keep_alive_session,0.0180196,0.0184987,0.0213596,0.0161595,0.0206923,0.0189459
device_distinct_emails_8w,0.00284407,0.003063,0.00273525,0.00311653,0.00318088,0.00298795
prev_address_months_count_missing,0.00904911,0.0102261,0.0108542,0.0128317,0.0131254,0.0112173
bank_months_count_missing,5.66632e-06,8.01605e-06,1.16192e-05,2.5301e-05,3.8729e-05,1.78663e-05
current_address_months_count_missing,0,1.18805e-05,0,0,1.37326e-05,5.12263e-06
session_length_in_minutes_missing,0,0,0,0,1.80561e-05,3.61121e-06
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,7.8884e-06,4.51147e-06,1.04443e-05,2.01868e-05,2.76492e-05,1.4136e-05
payment_type_AB,0,1.44452e-05,1.37815e-05,2.29308e-06,4.885e-06,7.08097e-06
payment_type_AC,1.77938e-06,4.1033e-06,4.21218e-05,6.26557e-06,2.03833e-06,1.12617e-05
payment_type_AD,3.78071e-07,8.09921e-06,5.99041e-07,0,0,1.81526e-06
payment_type_AE,0,0,0,0,0,0
employment_status_CA,2.70024e-05,0.000100698,0.000121908,6.1825e-05,0.000144549,9.11963e-05
employment_status_CB,5.39491e-05,9.97388e-05,0.000112513,2.93232e-05,0.000100542,7.92132e-05
employment_status_CC,9.13047e-05,0.000115365,4.3478e-05,0.000109384,5.04451e-05,8.19955e-05
employment_status_CD,0,0,0,0,1.17118e-05,2.34235e-06
employment_status_CE,0,6.65612e-06,0,0,0,1.33122e-06
employment_status_CF,8.3679e-06,0,0,3.27015e-06,0,2.32761e-06
employment_status_CG,0,0,0,0,1.15485e-05,2.30971e-06
housing_status_BA,0.0487487,0.0385614,0.059593,0.0282467,0.0299726,0.0410245
housing_status_BB,6.82208e-06,1.46282e-05,7.79007e-06,6.59538e-06,1.19968e-06,7.40707e-06
housing_status_BC,0,8.71739e-06,2.04329e-05,9.58022e-06,3.20699e-05,1.41601e-05
housing_status_BD,1.97505e-05,0,2.51721e-05,0,3.78208e-06,9.74094e-06
housing_status_BE,3.7931e-05,3.82175e-05,2.9657e-05,0.000119916,5.87567e-05,5.68956e-05
housing_status_BF,0,0,0,0,0,0
housing_status_BG,0,0,0,0,0,0
source_INTERNET,1.11765e-06,1.19607e-05,2.40082e-05,3.25803e-06,5.32635e-06,9.13419e-06
source_TELEAPP,1.32136e-05,2.34552e-06,0,0,0,3.11182e-06
device_os_linux,3.28324e-05,0.000117077,5.86581e-05,0.000104943,0.000124665,8.7635e-05
device_os_macintosh,0.000694056,0.000819826,0.000531953,0.000809237,0.000731748,0.000717364
device_os_other,1.2627e-05,0.000128072,0.000155808,7.2871e-05,0.000164026,0.000106681
device_os_windows,0.0240779,0.0258305,0.043185,0.0251893,0.0336305,0.0303827
device_os_x11,0,0,1.43474e-05,9.12061e-06,0,4.6936e-06
