feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.00700134,0.0078556,0.00755166,0.00706264,0.00809235,0.00751272
name_email_similarity,0.00718989,0.00902029,0.00903327,0.0077163,0.00891186,0.00837432
prev_address_months_count,0.000153933,0.000171626,9.81642e-05,0.000192012,0.000221012,0.00016735
current_address_months_count,0.00350238,0.00626503,0.00515654,0.00431435,0.00563698,0.00497506
customer_age,0.00681137,0.0142612,0.00832157,0.00789364,0.00675911,0.00880937
days_since_request,0.00388223,0.00316051,0.00295615,0.00617742,0.00538558,0.00431238
intended_balcon_amount,0.00533061,0.00247017,0.00322007,0.00378938,0.00390178,0.0037424
zip_count_4w,0.00014038,0.000446274,0.00033221,0.000198256,0.000527781,0.00032898
velocity_6h,0.000119576,2.89919e-05,1.15582e-05,4.57919e-05,9.93098e-05,6.10455e-05
velocity_24h,0.000492993,0.000742666,0.000466106,0.000539358,0.000675662,0.000583357
velocity_4w,0.00425279,0.00444581,0.00398257,0.00429344,0.0050478,0.00440448
bank_branch_count_8w,0.00386455,0.00407351,0.00477478,0.00357535,0.00310132,0.0038779
date_of_birth_distinct_emails_4w,0.00159023,0.00198906,0.00194464,0.00181382,0.00193362,0.00185427
credit_risk_score,0.00215214,0.00251118,0.00321054,0.00249439,0.00261417,0.00259648
email_is_free,0.00564946,0.00628979,0.00844454,0.00770678,0.00626008,0.00687013
phone_home_valid,0.0165871,0.0144728,0.0156631,0.0131614,0.0156245,0.0151018
phone_mobile_valid,8.39558e-06,1.12216e-05,3.35515e-05,8.82626e-06,6.30713e-05,2.50132e-05
bank_months_count,0.000410416,0.00035638,0.000360964,0.000191985,0.000737507,0.00041145
has_other_cards,0.00600656,0.00380429,0.0054245,0.0038413,0.00327609,0.00447055
proposed_credit_limit,0.00209222,0.00202977,0.00203019,0.00210014,0.00173301,0.00199707
foreign_request,7.07566e-05,1.41436e-05,4.51648e-05,3.50147e-05,4.152e-05,4.132e-05
session_length_in_minutes,7.00656e-05,6.61951e-05,2.33037e-05,1.94629e-06,3.1775e-05,3.86571e-05
keep_alive_session,0.00684617,0.00879796,0.0100641,0.00733273,0.00727818,0.00806382
device_distinct_emails_8w,0.00141555,0.0014747,0.00143875,0.00131721,0.00142031,0.0014133
prev_address_months_count_missing,0.00728348,0.00754528,0.00792248,0.0102366,0.00817372,0.00823231
bank_months_count_missing,0.000135903,8.64542e-05,6.64938e-05,5.86761e-05,0.000144986,9.85025e-05
current_address_months_count_missing,0,0,0,0,0,0
session_length_in_minutes_missing,1.10049e-06,0,0,0,0,2.20097e-07
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,9.28614e-06,5.09614e-06,2.40041e-06,0,4.54957e-06,4.26645e-06
payment_type_AB,0.00135916,0.000682514,0.00112256,0.00116667,0.000607409,0.000987663
payment_type_AC,0.000340093,0.000225944,0.000340186,0.000200673,0.00018943,0.000259265
payment_type_AD,1.12239e-06,0,3.37244e-06,3.78815e-06,0,1.6566e-06
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.000368616,0.000281662,0.000534445,0.000392402,0.000656577,0.00044674
employment_status_CB,7.00089e-06,1.49089e-05,2.55343e-05,8.17062e-06,2.94e-05,1.70029e-05
employment_status_CC,4.06329e-05,7.65676e-05,9.18182e-06,3.94783e-05,6.34582e-05,4.58638e-05
employment_status_CD,0,0,0,0,3.59281e-06,7.18562e-07
employment_status_CE,0,0,0,0,0,0
employment_status_CF,4.92297e-06,6.3123e-06,0,7.37832e-06,0,3.72272e-06
employment_status_CG,0,0,0,0,0,0
housing_status_BA,0.0331672,0.0321967,0.0452459,0.0341699,0.0221804,0.033392
housing_status_BB,2.26307e-06,9.75232e-06,3.50946e-06,6.26208e-06,7.16315e-06,5.79002e-06
housing_status_BC,2.5731e-05,2.45474e-05,3.26363e-05,1.6401e-05,4.95215e-05,2.97674e-05
housing_status_BD,5.8432e-06,0,2.69595e-05,2.34504e-06,8.26554e-06,8.68265e-06
housing_status_BE,2.65976e-05,0.000135093,6.48208e-05,2.77523e-05,2.20302e-05,5.52587e-05
housing_status_BF,0,0,0,0,1.63349e-06,3.26698e-07
housing_status_BG,0,0,0,0,0,0
source_INTERNET,0,0,1.56952e-05,0,2.15021e-06,3.56908e-06
source_TELEAPP,1.78938e-05,0,7.55785e-06,0,5.61872e-06,6.21407e-06
device_os_linux,4.43407e-06,3.26056e-06,6.03814e-05,2.77799e-05,7.62755e-05,3.44263e-05
device_os_macintosh,0.000523511,0.00064245,0.000313175,0.000452506,0.000645616,0.000515452
device_os_other,4.28072e-05,3.92043e-05,0.000157361,6.00056e-05,0.000118418,8.35594e-05
device_os_windows,0.016812,0.018374,0.0289391,0.0221002,0.0192854,0.0211022
device_os_x11,0,0,2.55077e-05,0,0,5.10153e-06
