feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.00392541,0.00403283,0.0047888,0.00479063,0.00464768,0.00443707
name_email_similarity,0.00661247,0.00583677,0.00551568,0.00625951,0.00627948,0.00610078
prev_address_months_count,3.3452e-06,7.85835e-06,6.85401e-06,1.66867e-05,2.52131e-06,7.45311e-06
current_address_months_count,0.00690565,0.00497423,0.005047,0.00511929,0.00655236,0.00571971
customer_age,0.0019854,0.00169021,0.00176589,0.00173706,0.00178064,0.00179184
days_since_request,0.00387485,0.00157874,0.00135807,0.0010674,0.00246109,0.00206803
intended_balcon_amount,0.000466221,0.000599707,0.0005748,0.000428039,0.000311829,0.000476119
zip_count_4w,0.000630755,0.000461709,0.000416448,0.000508946,0.000290943,0.00046176
velocity_6h,0.000160834,0.000187588,0.000143841,0.000207429,0.000184921,0.000176923
velocity_24h,4.30609e-05,3.33747e-05,4.60601e-05,3.29516e-05,2.63879e-05,3.6367e-05
velocity_4w,0.00107899,0.00103197,0.00125732,0.00158466,0.00142072,0.00127473
bank_branch_count_8w,0.00487694,0.00368178,0.00400711,0.00435261,0.00408334,0.00420036
date_of_birth_distinct_emails_4w,0.000704953,0.000794781,0.000798887,0.00108464,0.000985031,0.000873658
credit_risk_score,0.00275012,0.00274849,0.00297929,0.0034212,0.00302876,0.00298557
email_is_free,0.00262619,0.00209959,0.00195716,0.0016341,0.00235151,0.00213371
phone_home_valid,0.00537865,0.00500115,0.00533883,0.00456823,0.00551437,0.00516025
phone_mobile_valid,8.98272e-06,1.98437e-05,1.43635e-05,1.06235e-05,2.18028e-05,1.51233e-05
bank_months_count,0.0010422,0.00079753,0.00127552,0.00102175,0.00100041,0.00102748
has_other_cards,0.00474149,0.00460973,0.00411186,0.00484411,0.00721036,0.00510351
proposed_credit_limit,0.00031478,0.000332709,0.000328083,0.000360211,0.000377237,0.000342604
foreign_request,3.87488e-05,8.81169e-05,7.74262e-05,6.98769e-05,8.92556e-05,7.26849e-05
session_length_in_minutes,4.9193e-05,8.03161e-05,7.65616e-05,8.54969e-05,6.64946e-05,7.16124e-05
keep_alive_session,0.0073853,0.00618828,0.00599683,0.00704504,0.00744601,0.00681229
device_distinct_emails_8w,0.000681989,0.000667727,0.000855226,0.000707438,0.000647653,0.000712007
prev_address_months_count_missing,0.00666294,0.00703934,0.00884565,0.00624523,0.00668399,0.00709543
bank_months_count_missing,2.77455e-05,7.41863e-05,3.7632e-05,7.55522e-05,7.35303e-05,5.77292e-05
current_address_months_count_missing,3.02772e-06,0,1.79878e-06,0,0,9.653e-07
session_length_in_minutes_missing,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,1.76704e-06,0,1.12195e-06,0,7.96243e-07,7.37045e-07
payment_type_AB,2.53166e-09,1.72547e-06,1.33441e-06,8.30057e-06,4.92616e-06,3.25783e-06
payment_type_AC,8.38898e-05,0.00015256,0.000156118,8.31213e-05,0.000139155,0.000122969
payment_type_AD,0,1.85443e-06,1.92276e-06,1.12518e-05,2.38025e-06,3.48185e-06
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.000221735,0.000200218,0.000226111,9.39773e-05,0.000225154,0.000193439
employment_status_CB,3.46586e-05,3.00449e-06,1.64224e-05,6.30682e-06,1.33501e-06,1.23455e-05
employment_status_CC,4.04546e-05,5.50864e-05,7.04834e-05,5.3432e-05,3.97199e-05,5.18352e-05
employment_status_CD,2.96565e-06,0,0,7.75089e-07,0,7.48148e-07
employment_status_CE,5.8718e-06,0,0,7.05336e-06,4.29952e-06,3.44494e-06
employment_status_CF,5.74868e-06,0,2.65068e-06,2.53901e-07,0,1.73065e-06
employment_status_CG,0,0,0,0,0,0
housing_status_BA,0.00721954,0.00700559,0.00735867,0.00870598,0.00757297,0.00757255
housing_status_BB,1.66112e-05,1.88831e-06,5.4748e-07,1.20863e-05,9.33919e-06,8.0945e-06
housing_status_BC,3.02621e-05,1.65636e-05,1.32733e-05,1.47016e-05,3.08072e-05,2.11216e-05
housing_status_BD,0,3.98797e-06,2.6424e-06,0,2.31393e-06,1.78886e-06
housing_status_BE,0.00117904,0.000729287,0.000826215,0.0011951,0.00117814,0.00102156
housing_status_BF,0,0,1.44138e-06,0,0,2.88275e-07
housing_status_BG,0,0,8.67108e-07,0,0,1.73422e-07
source_INTERNET,3.50666e-06,0,0,4.46665e-06,9.19896e-07,1.77864e-06
source_TELEAPP,1.40044e-06,0,0,1.30537e-07,4.15229e-06,1.13665e-06
device_os_linux,0.000496624,0.00015419,0.000144356,0.000201754,0.000391833,0.000277751
device_os_macintosh,3.84975e-05,5.21785e-05,4.34799e-05,6.86926e-05,4.50604e-05,4.95818e-05
device_os_other,1.13988e-06,4.0415e-06,6.62217e-06,1.32714e-05,0,5.015e-06
device_os_windows,0.00536184,0.00468145,0.00564298,0.00536906,0.00556767,0.0053246
device_os_x11,0,0,0,3.34076e-06,0,6.68151e-07
