feature,client_0,mean
income,0.0823633,0.0823633
name_email_similarity,0.201067,0.201067
prev_address_months_count,0.0263659,0.0263659
current_address_months_count,0.0223461,0.0223461
customer_age,0.077518,0.077518
days_since_request,0.0173106,0.0173106
intended_balcon_amount,0.00295747,0.00295747
zip_count_4w,0.059274,0.059274
velocity_6h,0.0127779,0.0127779
velocity_24h,0.00851297,0.00851297
velocity_4w,0.113393,0.113393
bank_branch_count_8w,0.00444885,0.00444885
date_of_birth_distinct_emails_4w,0.0570905,0.0570905
credit_risk_score,0.0604287,0.0604287
email_is_free,0.231887,0.231887
phone_home_valid,0.335504,0.335504
phone_mobile_valid,0.0176722,0.0176722
bank_months_count,0.0451949,0.0451949
has_other_cards,0.262508,0.262508
proposed_credit_limit,0.0871562,0.0871562
foreign_request,0.0296313,0.0296313
session_length_in_minutes,0.0342146,0.0342146
keep_alive_session,0.287027,0.287027
device_distinct_emails_8w,0.0408666,0.0408666
prev_address_months_count_missing,0.508532,0.508532
bank_months_count_missing,0.031105,0.031105
current_address_months_count_missing,0,0
session_length_in_minutes_missing,0,0
device_distinct_emails_8w_missing,0,0
payment_type_AA,0.0663834,0.0663834
payment_type_AB,0.0179066,0.0179066
payment_type_AC,0.00619104,0.00619104
payment_type_AD,0,0
payment_type_AE,0,0
employment_status_CA,0.112409,0.112409
employment_status_CB,0.000401291,0.000401291
employment_status_CC,0.0256988,0.0256988
employment_status_CD,0.00666131,0.00666131
employment_status_CE,0.00873196,0.00873196
employment_status_CF,0.0113804,0.0113804
employment_status_CG,0,0
housing_status_BA,0.139338,0.139338
housing_status_BB,0.0512359,0.0512359
housing_status_BC,0.0318931,0.0318931
housing_status_BD,0.00191471,0.00191471
housing_status_BE,0.0841137,0.0841137
housing_status_BF,0.000107387,0.000107387
housing_status_BG,0,0
source_INTERNET,0,0
source_TELEAPP,0.00150159,0.00150159
device_os_linux,0.268248,0.268248
device_os_macintosh,0.000821864,0.000821864
device_os_other,0.19386,0.19386
device_os_windows,0.035149,0.035149
device_os_x11,8.91071e-05,8.91071e-05
