feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.175544,0.174617,0.17321,0.197062,0.187032,0.181493
name_email_similarity,0.271663,0.282957,0.252093,0.281404,0.274207,0.272465
prev_address_months_count,0.0156459,0.0197062,0.0212876,0.0193818,0.0212739,0.0194591
current_address_months_count,0.0792358,0.0958504,0.0678309,0.0776679,0.10659,0.085435
customer_age,0.0874785,0.102751,0.0756105,0.112253,0.113672,0.0983529
days_since_request,0.01525,0.0187748,0.0207114,0.0144092,0.0179959,0.0174283
intended_balcon_amount,0.0099948,0.0171069,0.00640098,0.0127625,0.0116869,0.0115904
zip_count_4w,0.0899731,0.0888748,0.0861758,0.0855531,0.0859783,0.087311
velocity_6h,0.00653145,0.0149183,0.0109099,0.0146029,0.0136935,0.0121312
velocity_24h,0.00707236,0.0191303,0.00823629,0.0156592,0.00818007,0.0116557
velocity_4w,0.136935,0.1576,0.125624,0.187836,0.165562,0.154712
bank_branch_count_8w,0.0075858,0.00895978,0.00713404,0.00849971,0.00785779,0.00800742
date_of_birth_distinct_emails_4w,0.0369715,0.0508351,0.0415268,0.0513319,0.0487502,0.0458831
credit_risk_score,0.0591147,0.0753157,0.0821123,0.0800729,0.0991936,0.0791618
email_is_free,0.194333,0.216568,0.211038,0.20213,0.215919,0.207998
phone_home_valid,0.514435,0.526682,0.375305,0.500239,0.419133,0.467159
phone_mobile_valid,0.00300615,0.0118879,0.00909999,0.00760718,0.0150172,0.00932368
bank_months_count,0.0336576,0.0538178,0.0411907,0.042579,0.0503876,0.0443265
has_other_cards,0.330762,0.309153,0.299945,0.302846,0.31217,0.310975
proposed_credit_limit,0.0459862,0.0489291,0.0422863,0.074971,0.0604235,0.0545192
foreign_request,0.02203,0.021669,0.0239146,0.0217923,0.0202864,0.0219385
session_length_in_minutes,0.0165042,0.0245574,0.0139883,0.0213628,0.0157909,0.0184407
keep_alive_session,0.290951,0.26577,0.278261,0.270102,0.271933,0.275404
device_distinct_emails_8w,0.0439219,0.0444911,0.0439023,0.0443076,0.0401222,0.043349
prev_address_months_count_missing,0.474881,0.401421,0.389293,0.490093,0.453324,0.441802
bank_months_count_missing,0.00116303,0.00751491,0.00300086,0.00759318,0.00456573,0.00476754
current_address_months_count_missing,0,0.000384509,0,0,0.000927865,0.000262475
session_length_in_minutes_missing,0.000455965,0,0,0,0.000502106,0.000191614
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0.181234,0.0989396,0.1249,0.06494,0.0897513,0.111953
payment_type_AB,0.121522,0.0606058,0.103273,0.0358884,0.0679572,0.0778494
payment_type_AC,0.000540145,0.00727864,0.00190679,0.00668565,0.00634294,0.00455084
payment_type_AD,0.0346748,0.0161743,0.0229033,0.0164503,0.0216028,0.0223611
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.167602,0.16211,0.152182,0.160517,0.164655,0.161413
employment_status_CB,0.00124401,0.0011318,0.00115712,0.000792986,0.000741388,0.00101346
employment_status_CC,0.0203583,0.0183095,0.0203504,0.0200112,0.0199715,0.0198002
employment_status_CD,0.00871026,0.0118668,0.00820601,0.00929141,0.00777564,0.00917003
employment_status_CE,0.00695814,0.00708529,0.00764272,0.00464933,0.00436901,0.0061409
employment_status_CF,0.0101668,0.00947474,0.00917121,0.0100794,0.00815883,0.00941021
employment_status_CG,0,0,0,0,0.00174136,0.000348271
housing_status_BA,0.0944466,0.100043,0.126884,0.111118,0.104086,0.107315
housing_status_BB,0.074124,0.110691,0.114252,0.0586019,0.0794731,0.0874285
housing_status_BC,0.0779227,0.104809,0.118104,0.0489248,0.0568651,0.0813251
housing_status_BD,0.00363913,0.00423559,0.00520312,0.00100331,0.000853703,0.00298697
housing_status_BE,0.100838,0.111196,0.118139,0.0966095,0.0908789,0.103532
housing_status_BF,0,0,0,0,0,0
housing_status_BG,0,0,0,0,0,0
source_INTERNET,0.0117122,0.0122774,0.0121934,0.0125247,0.0120979,0.0121611
source_TELEAPP,0.0123768,0.0125257,0.012176,0.0119275,0.0125585,0.0123129
device_os_linux,0.191012,0.240778,0.240662,0.272817,0.241594,0.237373
device_os_macintosh,0.00343313,0.00292556,0.00125308,0.00514578,0.00120181,0.00279187
device_os_other,0.131329,0.198535,0.173343,0.161418,0.189018,0.170729
device_os_windows,0.108884,0.102445,0.0770335,0.0954672,0.0841581,0.0935976
device_os_x11,0,0,0.000121065,0,0,2.4213e-05
