feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.112792,0.096181,0.102485,0.0934693,0.106968,0.102379
name_email_similarity,0.249313,0.233511,0.229866,0.237068,0.226576,0.235267
prev_address_months_count,0.0260145,0.0242113,0.0255724,0.0267283,0.0232133,0.025148
current_address_months_count,0.0891605,0.0511617,0.0390342,0.0461769,0.0537816,0.055863
customer_age,0.112029,0.0905829,0.088528,0.092795,0.117514,0.10029
days_since_request,0.027085,0.0205813,0.0216399,0.0230925,0.0194624,0.0223722
intended_balcon_amount,0.00473115,0.00428811,0.00422989,0.00510404,0.00366461,0.00440356
zip_count_4w,0.0834623,0.0771706,0.0686113,0.0715053,0.0778655,0.075723
velocity_6h,0.00809846,0.00784229,0.00854024,0.00998899,0.00633528,0.00816105
velocity_24h,0.00466454,0.00289004,0.00388355,0.00917704,0.00771562,0.00566616
velocity_4w,0.120861,0.125328,0.141638,0.126187,0.140341,0.130871
bank_branch_count_8w,0.00366638,0.00311137,0.00334507,0.00402903,0.00207609,0.00324559
date_of_birth_distinct_emails_4w,0.0409946,0.0378739,0.0439622,0.0522929,0.0529237,0.0456095
credit_risk_score,0.0465571,0.0373161,0.0451341,0.0510942,0.0579102,0.0476024
email_is_free,0.209596,0.19125,0.210895,0.219516,0.203176,0.206887
phone_home_valid,0.406772,0.414003,0.42656,0.386837,0.367026,0.40024
phone_mobile_valid,0.0212749,0.0188021,0.0194964,0.0216587,0.0114342,0.0185333
bank_months_count,0.0564725,0.0440708,0.0427458,0.0441716,0.0476315,0.0470184
has_other_cards,0.304841,0.303878,0.290274,0.31787,0.363644,0.316102
proposed_credit_limit,0.0689612,0.070807,0.0694564,0.0595056,0.0748329,0.0687126
foreign_request,0.0227556,0.0236954,0.0196523,0.0200157,0.0221161,0.021647
session_length_in_minutes,0.0492308,0.0530959,0.0501483,0.0400507,0.0340536,0.0453158
keep_alive_session,0.314315,0.2773,0.278252,0.306426,0.326389,0.300536
device_distinct_emails_8w,0.0433282,0.0430738,0.0421797,0.0401517,0.0410744,0.0419616
prev_address_months_count_missing,0.409344,0.479676,0.561934,0.419115,0.372592,0.448532
bank_months_count_missing,0.0613518,0.0580079,0.0643,0.0599367,0.0613762,0.0609945
current_address_months_count_missing,0.000194075,0,0.000389547,0,0,0.000116725
session_length_in_minutes_missing,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0.0670841,0.0744928,0.0754158,0.0824167,0.0791499,0.0757119
payment_type_AB,0.000184421,0.000972522,0.00137836,0.00130558,0.00153471,0.00107512
payment_type_AC,0.0204021,0.0073709,0.00642145,0.00697969,0.0110352,0.0104419
payment_type_AD,0.00021843,0.000219068,0.000553863,0.000679629,0.00110064,0.000554326
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.157079,0.168688,0.157362,0.163949,0.15247,0.15991
employment_status_CB,0.00671506,0.00146584,0.00277351,0.00374702,0.00171619,0.00328352
employment_status_CC,0.03101,0.0284464,0.0299464,0.0312789,0.0311765,0.0303717
employment_status_CD,0,0.00025404,0,0,0.000158189,8.24456e-05
employment_status_CE,0.00490258,0.000883994,0.00184173,0.00475501,0.00467623,0.00341191
employment_status_CF,0.00958041,0.00574836,0.00623852,0.00945336,0.00799793,0.00780372
employment_status_CG,0,0,0,0,0,0
housing_status_BA,0.139195,0.135285,0.130803,0.125088,0.132851,0.132644
housing_status_BB,0.107861,0.0492954,0.0338131,0.0626481,0.105595,0.0718425
housing_status_BC,0.0758698,0.00464958,0.00992418,0.0507596,0.0785227,0.0439452
housing_status_BD,0.00151408,0.00355995,0.00420637,0.00332611,0.000948268,0.00271096
housing_status_BE,0.116639,0.0890254,0.0836359,0.109828,0.119074,0.10364
housing_status_BF,0,0,0,0,0,0
housing_status_BG,0,0,0.00471732,0,0,0.000943463
source_INTERNET,0.00989798,0.00998882,0.0100016,0.0101861,0.00931424,0.00987776
source_TELEAPP,0.0100294,0.00983315,0.0100758,0.00980327,0.0109138,0.0101311
device_os_linux,0.220175,0.280073,0.220221,0.195768,0.273536,0.237955
device_os_macintosh,0.0050878,0.00613039,0.00662711,0.00683619,0.000515178,0.00503933
device_os_other,0.168331,0.0968264,0.128653,0.148241,0.206003,0.149611
device_os_windows,0.0996798,0.0747562,0.0731217,0.100376,0.101503,0.0898873
device_os_x11,0.000341726,0,0,5.63528e-05,0,7.96158e-05
