feature,client_0,mean
income,0.192013,0.192013
name_email_similarity,0.245452,0.245452
prev_address_months_count,0.0115549,0.0115549
current_address_months_count,0.197951,0.197951
customer_age,0.0741048,0.0741048
days_since_request,0.0876819,0.0876819
intended_balcon_amount,0.161342,0.161342
zip_count_4w,0.078314,0.078314
velocity_6h,0.0291322,0.0291322
velocity_24h,0.0533064,0.0533064
velocity_4w,0.161229,0.161229
bank_branch_count_8w,0.132129,0.132129
date_of_birth_distinct_emails_4w,0.0664835,0.0664835
credit_risk_score,0.109148,0.109148
email_is_free,0.198174,0.198174
phone_home_valid,0.320121,0.320121
phone_mobile_valid,0.0193595,0.0193595
bank_months_count,0.0766236,0.0766236
has_other_cards,0.319827,0.319827
proposed_credit_limit,0.0497221,0.0497221
foreign_request,0.0219772,0.0219772
session_length_in_minutes,0.0419092,0.0419092
keep_alive_session,0.275939,0.275939
device_distinct_emails_8w,0.0412418,0.0412418
prev_address_months_count_missing,0.294859,0.294859
bank_months_count_missing,0.00787685,0.00787685
current_address_months_count_missing,0,0
session_length_in_minutes_missing,0,0
device_distinct_emails_8w_missing,0,0
payment_type_AA,0.00385248,0.00385248
payment_type_AB,2.74495e-05,2.74495e-05
payment_type_AC,0.0137944,0.0137944
payment_type_AD,0.00156638,0.00156638
payment_type_AE,0,0
employment_status_CA,0.103561,0.103561
employment_status_CB,0.037515,0.037515
employment_status_CC,0.0136304,0.0136304
employment_status_CD,0.00371777,0.00371777
employment_status_CE,0.00763738,0.00763738
employment_status_CF,0.0226706,0.0226706
employment_status_CG,0,0
housing_status_BA,0.327062,0.327062
housing_status_BB,0.00405846,0.00405846
housing_status_BC,0.0233666,0.0233666
housing_status_BD,0.00241989,0.00241989
housing_status_BE,0.0465212,0.0465212
housing_status_BF,0.000314545,0.000314545
housing_status_BG,0,0
source_INTERNET,0,0
source_TELEAPP,0,0
device_os_linux,0.0782119,0.0782119
device_os_macintosh,0.0255421,0.0255421
device_os_other,0.0251965,0.0251965
device_os_windows,0.311985,0.311985
device_os_x11,0.00125896,0.00125896
