feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.19559,0.214937,0.213607,0.192683,0.206297,0.204623
name_email_similarity,0.252295,0.260082,0.260046,0.242772,0.246496,0.252338
prev_address_months_count,0.0101425,0.0107768,0.00974023,0.0114748,0.0104901,0.0105249
current_address_months_count,0.194419,0.197268,0.199708,0.195919,0.196343,0.196731
customer_age,0.104408,0.0988747,0.0950609,0.101111,0.0832545,0.0965417
days_since_request,0.0738427,0.0752039,0.0766205,0.0768064,0.0884652,0.0781878
intended_balcon_amount,0.115764,0.115459,0.114858,0.118502,0.118481,0.116613
zip_count_4w,0.0882548,0.0789791,0.087524,0.0812074,0.090164,0.0852259
velocity_6h,0.0334265,0.0337242,0.0331418,0.0343281,0.0358106,0.0340863
velocity_24h,0.0419596,0.0454335,0.0514249,0.0426288,0.0457411,0.0454376
velocity_4w,0.136403,0.15278,0.169237,0.145365,0.153444,0.151446
bank_branch_count_8w,0.134318,0.134509,0.153197,0.132304,0.140752,0.139016
date_of_birth_distinct_emails_4w,0.0720121,0.0657641,0.0828963,0.06837,0.0634601,0.0705005
credit_risk_score,0.103966,0.103065,0.121821,0.0937564,0.0919055,0.102903
email_is_free,0.191046,0.20308,0.20932,0.193863,0.200572,0.199576
phone_home_valid,0.303602,0.294955,0.300382,0.274408,0.27726,0.290121
phone_mobile_valid,0.023595,0.0248547,0.021914,0.0240683,0.0190471,0.0226958
bank_months_count,0.0799422,0.0785126,0.077625,0.0720164,0.0725148,0.0761222
has_other_cards,0.330957,0.321839,0.281122,0.295609,0.290773,0.30406
proposed_credit_limit,0.0633231,0.0567672,0.0802081,0.0673404,0.0719722,0.0679222
foreign_request,0.0288755,0.0154012,0.0225034,0.0229257,0.0192124,0.0217836
session_length_in_minutes,0.0406868,0.0391268,0.0413636,0.0406789,0.039223,0.0402158
keep_alive_session,0.27881,0.275557,0.291027,0.283179,0.274316,0.280578
device_distinct_emails_8w,0.0579183,0.0270947,0.0773072,0.0577659,0.0360548,0.0512282
prev_address_months_count_missing,0.27853,0.278002,0.27238,0.295112,0.303058,0.285416
bank_months_count_missing,0.00746414,0.00775533,0.00683391,0.00818434,0.00868408,0.00778436
current_address_months_count_missing,0,0.00188034,0,0,0.00140067,0.000656202
session_length_in_minutes_missing,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0.00938349,0.00885235,0.00743687,0.0104832,0.00953761,0.0091387
payment_type_AB,0.00144152,0.0013283,0.00167288,0.0013843,0.00127991,0.00142138
payment_type_AC,0.0201498,0.0173509,0.0192736,0.022544,0.0214868,0.020161
payment_type_AD,0.00184832,0.00206818,0.00358464,0.00177293,0.00231713,0.00231824
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.137022,0.151842,0.150808,0.140531,0.15927,0.147895
employment_status_CB,0.00536547,0.00779694,0.00723251,0.00417955,0.00479552,0.005874
employment_status_CC,0.0133465,0.0154959,0.0183527,0.0191148,0.0116313,0.0155882
employment_status_CD,0.000767633,0.00142357,0.00123651,0.000742727,0.0017289,0.00117987
employment_status_CE,0.000898874,0.000385989,0.00037258,0.00104068,0.000804889,0.000700603
employment_status_CF,0.0120929,0.00834186,0.0138033,0.0157538,0.0133388,0.0126661
employment_status_CG,0,0,0,0,0,0
housing_status_BA,0.336428,0.300417,0.408205,0.244885,0.285135,0.315014
housing_status_BB,0.00331449,0.00317961,0.00275812,0.00415111,0.0048328,0.00364723
housing_status_BC,0.021256,0.0201126,0.0252317,0.0199978,0.022372,0.021794
housing_status_BD,0.00595696,0.00336696,0.00469664,0.003784,0.00325092,0.00421109
housing_status_BE,0.0528022,0.0510759,0.0510922,0.0540305,0.048792,0.0515586
housing_status_BF,0,0,0,0,0,0
housing_status_BG,0,0,0,0,0,0
source_INTERNET,0,0,0,0,0,0
source_TELEAPP,0,0,0,0,0,0
device_os_linux,0.0748278,0.0789659,0.0741913,0.086988,0.0770004,0.0783947
device_os_macintosh,0.0278651,0.0346913,0.0222438,0.0274141,0.0218535,0.0268135
device_os_other,0.0302822,0.0332749,0.0314001,0.0313213,0.0340797,0.0320716
device_os_windows,0.280578,0.305338,0.348946,0.297353,0.331107,0.312664
device_os_x11,5.97069e-05,0.000209222,0.00167831,4.81001e-05,6.70959e-05,0.000412487
