feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.19559,0.183004,0.213607,0.208325,0.21762,0.203629
name_email_similarity,0.252295,0.241825,0.260046,0.247853,0.242969,0.248998
prev_address_months_count,0.0101425,0.00968729,0.00974023,0.0107644,0.00942684,0.00995225
current_address_months_count,0.194419,0.20119,0.199708,0.196856,0.199972,0.198429
customer_age,0.104408,0.0825363,0.0950609,0.089331,0.0963811,0.0935434
days_since_request,0.0738427,0.076863,0.0766205,0.0714898,0.084984,0.07676
intended_balcon_amount,0.115764,0.11974,0.114858,0.113234,0.113043,0.115328
zip_count_4w,0.0882548,0.0863038,0.087524,0.0788647,0.0861705,0.0854236
velocity_6h,0.0334265,0.035547,0.0331418,0.0351361,0.035272,0.0345047
velocity_24h,0.0419596,0.0423332,0.0514249,0.0428455,0.044013,0.0445152
velocity_4w,0.136403,0.147836,0.169237,0.143291,0.147767,0.148907
bank_branch_count_8w,0.134318,0.133018,0.153197,0.138205,0.144503,0.140648
date_of_birth_distinct_emails_4w,0.0720121,0.0647136,0.0828963,0.0803491,0.0704181,0.0740779
credit_risk_score,0.103966,0.0848608,0.121821,0.10787,0.0863957,0.100983
email_is_free,0.191046,0.19647,0.20932,0.20829,0.195079,0.200041
phone_home_valid,0.303602,0.29149,0.300382,0.278767,0.291698,0.293188
phone_mobile_valid,0.023595,0.0189849,0.021914,0.0141333,0.0150378,0.018733
bank_months_count,0.0799422,0.0789525,0.077625,0.0764056,0.0766083,0.0779067
has_other_cards,0.330957,0.309117,0.281122,0.299418,0.315274,0.307177
proposed_credit_limit,0.0633231,0.0590863,0.0802081,0.0655957,0.061696,0.0659818
foreign_request,0.0288755,0.0126443,0.0225034,0.022884,0.0177886,0.0209391
session_length_in_minutes,0.0406868,0.0377994,0.0413636,0.0419941,0.0400175,0.0403723
keep_alive_session,0.27881,0.279944,0.291027,0.277566,0.281456,0.281761
device_distinct_emails_8w,0.0579183,0.053751,0.0773072,0.0559609,0.0401326,0.057014
prev_address_months_count_missing,0.27853,0.263921,0.27238,0.328833,0.284741,0.285681
bank_months_count_missing,0.00746414,0.00605509,0.00683391,0.00818753,0.00809245,0.00732663
current_address_months_count_missing,0,0,0,0,0,0
session_length_in_minutes_missing,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0.00938349,0.00949079,0.00743687,0.00941109,0.00819567,0.00878358
payment_type_AB,0.00144152,0.00129245,0.00167288,0.00148552,0.00178993,0.00153646
payment_type_AC,0.0201498,0.0165223,0.0192736,0.0187605,0.01871,0.0186832
payment_type_AD,0.00184832,0.00237918,0.00358464,0.00204473,0.00275268,0.00252191
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.137022,0.153001,0.150808,0.140044,0.165468,0.149269
employment_status_CB,0.00536547,0.00435638,0.00723251,0.00467366,0.00511143,0.00534789
employment_status_CC,0.0133465,0.0104317,0.0183527,0.0127509,0.0134251,0.0136614
employment_status_CD,0.000767633,0.000788602,0.00123651,0.00072168,0.00197478,0.00109784
employment_status_CE,0.000898874,0.00112466,0.00037258,0.000579142,0.000927671,0.000780586
employment_status_CF,0.0120929,0.0260455,0.0138033,0.0179331,0.00894069,0.0157631
employment_status_CG,0,0,0,0,0,0
housing_status_BA,0.336428,0.274407,0.408205,0.315136,0.290491,0.324934
housing_status_BB,0.00331449,0.00326066,0.00275812,0.00347716,0.00374641,0.00331137
housing_status_BC,0.021256,0.0192291,0.0252317,0.0211194,0.0238711,0.0221415
housing_status_BD,0.00595696,0.00406267,0.00469664,0.00643506,0.00579501,0.00538927
housing_status_BE,0.0528022,0.0501878,0.0510922,0.0476104,0.0482088,0.0499803
housing_status_BF,0,0,0,0,0,0
housing_status_BG,0,0,0,0,0,0
source_INTERNET,0,0,0,0,0,0
source_TELEAPP,0,0,0,0,0,0
device_os_linux,0.0748278,0.0763728,0.0741913,0.0810356,0.0773459,0.0767547
device_os_macintosh,0.0278651,0.0218571,0.0222438,0.030941,0.0307083,0.0267231
device_os_other,0.0302822,0.0292783,0.0314001,0.0333374,0.0321494,0.0312895
device_os_windows,0.280578,0.272202,0.348946,0.306238,0.296457,0.300884
device_os_x11,5.97069e-05,5.20375e-05,0.00167831,3.08238e-05,0.000258871,0.00041595
