feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.178749,0.164552,0.175307,0.180549,0.179865,0.175805
name_email_similarity,0.216095,0.222936,0.221842,0.230785,0.22086,0.222503
prev_address_months_count,0.0156569,0.0206328,0.0155095,0.0167732,0.0165252,0.0170195
current_address_months_count,0.190611,0.190497,0.197711,0.192062,0.1899,0.192156
customer_age,0.0813342,0.0744837,0.0676556,0.0740762,0.0749073,0.0744914
days_since_request,0.0599039,0.0561485,0.0561111,0.058591,0.0695157,0.060054
intended_balcon_amount,0.148434,0.142361,0.142705,0.149132,0.166499,0.149826
zip_count_4w,0.0661143,0.0700061,0.0736982,0.070271,0.0712927,0.0702765
velocity_6h,0.0489125,0.0515866,0.0532032,0.0450231,0.0475048,0.049246
velocity_24h,0.0687898,0.0732063,0.0755001,0.0785664,0.0742799,0.0740685
velocity_4w,0.104395,0.105574,0.106949,0.110098,0.115529,0.108509
bank_branch_count_8w,0.100256,0.0897782,0.0986052,0.104939,0.10192,0.0990995
date_of_birth_distinct_emails_4w,0.0676621,0.0696937,0.0707131,0.0716751,0.0818522,0.0723193
credit_risk_score,0.0957774,0.084451,0.102274,0.0974743,0.0982813,0.0956516
email_is_free,0.154733,0.158286,0.158263,0.169423,0.158036,0.159748
phone_home_valid,0.231773,0.228511,0.24137,0.245065,0.242837,0.237911
phone_mobile_valid,0.0254437,0.0285133,0.0425309,0.0240383,0.0303367,0.0301726
bank_months_count,0.0603281,0.0600174,0.0539422,0.0613205,0.0558116,0.0582839
has_other_cards,0.219488,0.256355,0.238719,0.243346,0.26173,0.243928
proposed_credit_limit,0.0343957,0.0386458,0.0398048,0.033692,0.0348336,0.0362744
foreign_request,0.00887027,0.00862428,0.0176523,0.00567915,0.0135335,0.0108719
session_length_in_minutes,0.043918,0.0455219,0.0438195,0.0479468,0.0454555,0.0453323
keep_alive_session,0.267299,0.264804,0.258386,0.268834,0.270631,0.265991
device_distinct_emails_8w,0.0408399,0.0279554,0.0458396,0.0291926,0.0455184,0.0378692
prev_address_months_count_missing,0.280067,0.28175,0.292241,0.262671,0.286574,0.280661
bank_months_count_missing,0.00550286,0.0053585,0.00537269,0.00489385,0.00552494,0.00533057
current_address_months_count_missing,0.000676285,0,0.000839515,0,0,0.00030316
session_length_in_minutes_missing,0,0,0,0,0,0
device_distinct_emails_8w_missing,0,0,0,0,0,0
payment_type_AA,0,0,0,0,0,0
payment_type_AB,0.00213333,0.00342747,0.00293618,0.00259081,0.00236854,0.00269126
payment_type_AC,0.0152017,0.0143629,0.0170797,0.0181499,0.0174032,0.0164395
payment_type_AD,0.00350512,0.00367822,0.00374479,0.00425286,0.00596262,0.00422872
payment_type_AE,0,0,0,0,0,0
employment_status_CA,0.0581047,0.0528675,0.0620285,0.0541316,0.0575742,0.0569413
employment_status_CB,0.013686,0.0112756,0.0134848,0.0137858,0.0166398,0.0137744
employment_status_CC,0.00612823,0.00548576,0.00349826,0.00352839,0.00599635,0.0049274
employment_status_CD,0.00209546,0.00210009,0.00127662,0.00161412,0.00164889,0.00174704
employment_status_CE,0.000207086,0.000143789,5.63498e-05,6.99515e-05,8.74393e-05,0.000112923
employment_status_CF,0.00492569,0.00431021,0.00641024,0.00382487,0.00321942,0.00453809
employment_status_CG,0,0,0,0,0,0
housing_status_BA,0.297142,0.271033,0.298138,0.337692,0.328222,0.306445
housing_status_BB,0.00726542,0.0074682,0.00661008,0.00634714,0.00678021,0.00689421
housing_status_BC,0.00827653,0.00870215,0.0101874,0.00833974,0.00957469,0.00901611
housing_status_BD,0.00239107,0.00774042,0.00319924,0.00464028,0.00657636,0.00490948
housing_status_BE,0.0492096,0.0429777,0.0546521,0.0471671,0.0560528,0.0500119
housing_status_BF,0,0,0,0,0,0
housing_status_BG,0,0,0,0,0,0
source_INTERNET,0,0,0,0,0,0
source_TELEAPP,0,0,0,0,0,0
device_os_linux,0.0453611,0.0404469,0.0362626,0.0390249,0.0386251,0.0399441
device_os_macintosh,0.0181861,0.0298027,0.0245976,0.0131116,0.0168011,0.0204998
device_os_other,0.00971733,0.00882063,0.0093257,0.00888994,0.00794425,0.00893957
device_os_windows,0.293791,0.260009,0.272919,0.296814,0.301677,0.285042
device_os_x11,0.00268798,0.000317226,0.00034542,0.00430312,0.000335243,0.0015978
