feature,client_0,mean
income,0.2376,0.2376
name_email_similarity,0.305002,0.305002
prev_address_months_count,0.0375842,0.0375842
current_address_months_count,0.0597618,0.0597618
customer_age,0.178222,0.178222
days_since_request,0.0279382,0.0279382
intended_balcon_amount,0.0960746,0.0960746
zip_count_4w,0.0771524,0.0771524
velocity_6h,0.025402,0.025402
velocity_24h,0.0385117,0.0385117
velocity_4w,0.0522312,0.0522312
bank_branch_count_8w,0.04105,0.04105
date_of_birth_distinct_emails_4w,0.106792,0.106792
credit_risk_score,0.154636,0.154636
email_is_free,0.278809,0.278809
phone_home_valid,0.456995,0.456995
phone_mobile_valid,0.0417536,0.0417536
bank_months_count,0.138724,0.138724
has_other_cards,0.474088,0.474088
proposed_credit_limit,0.100929,0.100929
foreign_request,0.0449407,0.0449407
session_length_in_minutes,0.013779,0.013779
keep_alive_session,0.330947,0.330947
device_distinct_emails_8w,0.0476877,0.0476877
prev_address_months_count_missing,0.560969,0.560969
bank_months_count_missing,0.054388,0.054388
current_address_months_count_missing,3.57751e-10,3.57751e-10
session_length_in_minutes_missing,0,0
device_distinct_emails_8w_missing,1.35851e-10,1.35851e-10
payment_type_AA,0.0688189,0.0688189
payment_type_AB,0.0325952,0.0325952
payment_type_AC,0.0857477,0.0857477
payment_type_AD,0.00475276,0.00475276
payment_type_AE,1.26677e-10,1.26677e-10
employment_status_CA,0.132883,0.132883
employment_status_CB,0.0770264,0.0770264
employment_status_CC,0.0354954,0.0354954
employment_status_CD,0.0143559,0.0143559
employment_status_CE,0.0300695,0.0300695
employment_status_CF,0.0446511,0.0446511
employment_status_CG,1.49117e-10,1.49117e-10
housing_status_BA,0.278942,0.278942
housing_status_BB,0.0976935,0.0976935
housing_status_BC,0.0412718,0.0412718
housing_status_BD,0.00321627,0.00321627
housing_status_BE,0.110082,0.110082
housing_status_BF,0.00371206,0.00371206
housing_status_BG,4.20314e-10,4.20314e-10
source_INTERNET,0.000870137,0.000870137
source_TELEAPP,0.000870137,0.000870137
device_os_linux,0.211526,0.211526
device_os_macintosh,0.0256762,0.0256762
device_os_other,0.106234,0.106234
device_os_windows,0.278385,0.278385
device_os_x11,0.000753684,0.000753684
