feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.110359,0.109934,0.107045,0.113332,0.112567,0.110647
name_email_similarity,0.185384,0.185069,0.185173,0.186343,0.187858,0.185965
prev_address_months_count,0.0635758,0.0542866,0.0650757,0.06276,0.0721699,0.0635736
current_address_months_count,0.0848906,0.0832977,0.0914242,0.0818807,0.0828524,0.0848691
customer_age,0.0802364,0.0801318,0.0801318,0.0791905,0.0770988,0.0793578
days_since_request,0.0167127,0.0207376,0.0131111,0.0202454,0.0277913,0.0197196
intended_balcon_amount,0.0430677,0.0398435,0.0412966,0.0417388,0.0404677,0.0412829
zip_count_4w,0.0111761,0.00964647,0.0106523,0.00971871,0.0101787,0.0102745
velocity_6h,0.00872949,0.00861565,0.00868949,0.00872134,0.00863873,0.00867894
velocity_24h,0.0125445,0.0128007,0.0126585,0.0126063,0.0126277,0.0126475
velocity_4w,0.0432277,0.0432857,0.0445511,0.0431935,0.043024,0.0434564
bank_branch_count_8w,0.00204373,0.00177074,0.00195676,0.00206827,0.00188572,0.00194504
date_of_birth_distinct_emails_4w,0.0404544,0.0401816,0.0404535,0.0409808,0.0409665,0.0406074
credit_risk_score,0.0732562,0.0707353,0.0741071,0.0707834,0.0706446,0.0719053
email_is_free,0.16262,0.162869,0.162372,0.16262,0.162123,0.162521
phone_home_valid,0.289698,0.275204,0.271581,0.27762,0.26675,0.276171
phone_mobile_valid,0.0210728,0.0218792,0.0186535,0.0218792,0.0186535,0.0204277
bank_months_count,0.0558488,0.0534103,0.0551848,0.0548548,0.0580673,0.0554732
has_other_cards,0.236558,0.229798,0.195997,0.223038,0.216277,0.220334
proposed_credit_limit,0.0684657,0.0585281,0.0675476,0.0633359,0.0596566,0.0635068
foreign_request,0.0186223,0.0105181,0.0145702,0.0145702,0.0125442,0.014165
session_length_in_minutes,0.00270529,0.00253711,0.00236431,0.00244427,0.00236481,0.00248316
keep_alive_session,0.166786,0.169608,0.170078,0.165375,0.168667,0.168103
device_distinct_emails_8w,0.0264262,0.0148462,0.0302862,0.0302862,0.0148462,0.0233382
prev_address_months_count_missing,0.381276,0.385579,0.364064,0.4157,0.415699,0.392463
bank_months_count_missing,0.00754538,0.00754538,0.0073117,0.00859692,0.00848008,0.00789589
current_address_months_count_missing,1.90004e-10,0.00392015,1.90004e-10,1.90004e-10,0.00392015,0.00156806
session_length_in_minutes_missing,0.00340294,0,0,0,0.00340294,0.00136118
device_distinct_emails_8w_missing,3.90653e-10,3.90653e-10,3.90653e-10,3.90653e-10,3.90653e-10,3.90653e-10
payment_type_AA,0.0424731,0.043477,0.0439789,0.0449828,0.0444808,0.0438785
payment_type_AB,0.00700765,0.00706971,0.00675943,0.00675943,0.00679045,0.00687733
payment_type_AC,0.0679195,0.0709537,0.0719651,0.0800564,0.0780335,0.0737857
payment_type_AD,0.0238434,0.0174911,0.0247509,0.0156761,0.0174911,0.0198505
payment_type_AE,1.68697e-10,1.68697e-10,1.68697e-10,1.68697e-10,1.68697e-10,1.68697e-10
employment_status_CA,0.0686717,0.0746182,0.0746182,0.0695212,0.0737687,0.0722396
employment_status_CB,0.0255293,0.0301093,0.027056,0.0209493,0.0278193,0.0262926
employment_status_CC,0.0208675,0.0238014,0.0296692,0.0326031,0.0179336,0.024975
employment_status_CD,0.0153337,0.018992,0.018992,0.0153337,0.0299668,0.0197236
employment_status_CE,0.0178586,0.0178586,0.0178586,0.0220105,0.0137066,0.0178586
employment_status_CF,0.0260228,0.0227201,0.0293255,0.0326282,0.0260228,0.0273439
employment_status_CG,3.50262e-11,3.50262e-11,3.50262e-11,3.50262e-11,0.00126066,0.000252133
housing_status_BA,0.198009,0.178272,0.237484,0.142744,0.158534,0.183009
housing_status_BB,0.0792246,0.0811164,0.0716577,0.0858457,0.0811164,0.0797921
housing_status_BC,0.031836,0.0330631,0.031836,0.0328878,0.0341149,0.0327476
housing_status_BD,0.00248953,0.00130427,0.00209444,0.00169936,0.00169936,0.00185739
housing_status_BE,0.0541696,0.0528187,0.0528187,0.0582222,0.0501169,0.0536292
housing_status_BF,2.92495e-10,2.92495e-10,2.92495e-10,2.92495e-10,2.92495e-10,2.92495e-10
housing_status_BG,7.16756e-10,7.16756e-10,7.16756e-10,7.16756e-10,7.16756e-10,7.16756e-10
source_INTERNET,0.000134432,0.000134432,0.000134432,3.86298e-05,0.000134432,0.000115271
source_TELEAPP,0.000134432,0.000134432,0.000134432,3.86298e-05,0.000134432,0.000115271
device_os_linux,0.0727619,0.0745316,0.0715822,0.0792507,0.0739417,0.0744136
device_os_macintosh,0.00341913,0.00372845,0.0028005,0.00341913,0.00249118,0.00317168
device_os_other,0.0842405,0.0791729,0.0781594,0.0776526,0.0786661,0.0795783
device_os_windows,0.144404,0.153776,0.168771,0.148153,0.166896,0.1564
device_os_x11,0.0002945,0.0017611,0.00469431,0.0002945,0.0002945,0.00146778
