feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.214209,0.224962,0.207777,0.205469,0.205488,0.211581
name_email_similarity,0.410823,0.410661,0.410355,0.409981,0.412648,0.410894
prev_address_months_count,0.140092,0.109939,0.143397,0.155494,0.13812,0.137408
current_address_months_count,0.267537,0.259119,0.288128,0.247673,0.256926,0.263877
customer_age,0.0229794,0.0221778,0.0229494,0.0226798,0.0228296,0.0227232
days_since_request,0.00330076,0.00348248,0.00258945,0.00359901,0.00523508,0.00364136
intended_balcon_amount,0.414132,0.379189,0.397102,0.359618,0.381453,0.386299
zip_count_4w,0.207616,0.201431,0.197887,0.180383,0.187598,0.194983
velocity_6h,0.0709376,0.0700255,0.0706126,0.0700021,0.0705598,0.0704275
velocity_24h,0.0159591,0.0161732,0.0161041,0.0167541,0.0162862,0.0162553
velocity_4w,0.0497213,0.0494423,0.0512435,0.0514169,0.0496257,0.0502899
bank_branch_count_8w,0.0872483,0.0771039,0.0835354,0.0785517,0.0885974,0.0830073
date_of_birth_distinct_emails_4w,0.194144,0.195639,0.19414,0.194296,0.19354,0.194352
credit_risk_score,0.0978795,0.0942198,0.0990164,0.0968681,0.0941557,0.0964279
email_is_free,0.473428,0.473428,0.472704,0.474152,0.466912,0.472125
phone_home_valid,0.698325,0.663387,0.654653,0.645918,0.657564,0.663969
phone_mobile_valid,0.0263436,0.0243274,0.0233192,0.0172705,0.0192867,0.0221095
bank_months_count,0.100694,0.098439,0.0994972,0.0972924,0.0989547,0.0989755
has_other_cards,0.712951,0.692577,0.590705,0.672202,0.702764,0.67424
proposed_credit_limit,0.0514866,0.0460427,0.0507961,0.0485791,0.0456019,0.0485013
foreign_request,0.00471678,0.00215094,0.00369044,0.00369044,0.00317727,0.00348518
session_length_in_minutes,0.0942622,0.0787345,0.082381,0.0963953,0.0875994,0.0878745
keep_alive_session,0.33918,0.348744,0.345875,0.341093,0.346831,0.344345
device_distinct_emails_8w,0.0160655,0.0160655,0.0184122,0.0184122,0.0137189,0.0165348
prev_address_months_count_missing,0.734295,0.709434,0.701146,0.858601,0.767443,0.754184
bank_months_count_missing,0.218896,0.19178,0.212117,0.256181,0.249402,0.225675
current_address_months_count_missing,2.16946e-09,2.16946e-09,2.16946e-09,2.16946e-09,2.16946e-09,2.16946e-09
session_length_in_minutes_missing,0.0100661,0,0,0,0,0.00201323
device_distinct_emails_8w_missing,7.14955e-10,7.14955e-10,7.14955e-10,7.14955e-10,7.14955e-10,7.14955e-10
payment_type_AA,0.0999087,0.109354,0.103451,0.0963666,0.0999087,0.101798
payment_type_AB,0.114022,0.115032,0.109983,0.109983,0.110488,0.111902
payment_type_AC,0.0403231,0.0367203,0.0427249,0.0487295,0.0475286,0.0432053
payment_type_AD,0.170108,0.144211,0.176583,0.150685,0.137737,0.155865
payment_type_AE,4.83264e-10,4.83264e-10,4.83264e-10,4.83264e-10,4.83264e-10,4.83264e-10
employment_status_CA,0.204973,0.210044,0.222722,0.199902,0.227793,0.213087
employment_status_CB,0.0466945,0.0411098,0.0494868,0.0383174,0.0522792,0.0455775
employment_status_CC,0.0147159,0.0105779,0.0209229,0.0147159,0.0147159,0.0151297
employment_status_CD,0.0840998,0.0840998,0.104164,0.0840998,0.144293,0.100151
employment_status_CE,0.0865262,0.106643,0.0865262,0.106643,0.146876,0.106643
employment_status_CF,0.0193056,0.0364568,0.0217558,0.0266561,0.0168554,0.0242059
employment_status_CG,5.44153e-10,5.44153e-10,5.44153e-10,5.44153e-10,5.44153e-10,5.44153e-10
housing_status_BA,0.685932,0.543983,0.82268,0.631233,0.576534,0.652072
housing_status_BB,0.840727,0.850765,0.760427,0.83069,0.890915,0.834705
housing_status_BC,0.260294,0.280359,0.260294,0.266027,0.266027,0.2666
housing_status_BD,0.120671,0.10152,0.10152,0.139821,0.120671,0.116841
housing_status_BE,0.0796667,0.0724756,0.07768,0.0796667,0.0756932,0.0770364
housing_status_BF,2.7065e-09,2.7065e-09,2.7065e-09,2.7065e-09,0.0219255,0.0043851
housing_status_BG,9.40418e-10,9.40418e-10,9.40418e-10,9.40418e-10,9.40418e-10,9.40418e-10
source_INTERNET,0.0172681,0.00496211,0.0172681,0.00496211,0.0172681,0.0123457
source_TELEAPP,0.0172681,0.00496211,0.0172681,0.00496211,0.0172681,0.0123457
device_os_linux,0.0811645,0.0890606,0.0798485,0.0864286,0.0851125,0.0843229
device_os_macintosh,0.241644,0.176062,0.197923,0.263505,0.219783,0.219783
device_os_other,0.167524,0.159461,0.15543,0.156438,0.156438,0.159058
device_os_windows,0.334827,0.330481,0.391326,0.343519,0.356557,0.351342
device_os_x11,0.00482925,0.00482925,0.0769781,0.00482925,0.0288788,0.0240689
