feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.242652,0.24958,0.245154,0.242075,0.239958,0.243884
name_email_similarity,0.31827,0.313013,0.30839,0.305967,0.304601,0.310048
prev_address_months_count,0.0609629,0.0480175,0.0643986,0.0490696,0.0812239,0.0607345
current_address_months_count,0.0581315,0.0576304,0.0575851,0.0621229,0.0583723,0.0587684
customer_age,0.180709,0.177412,0.17435,0.179296,0.177412,0.177836
days_since_request,0.0341428,0.0275231,0.0246857,0.0206643,0.0353072,0.0284646
intended_balcon_amount,0.0926747,0.0885577,0.0860272,0.0889903,0.0997196,0.0911939
zip_count_4w,0.0835549,0.0850617,0.077669,0.0780112,0.0772001,0.0802994
velocity_6h,0.0268303,0.0267116,0.026675,0.0267644,0.026921,0.0267805
velocity_24h,0.0328741,0.0328072,0.0330765,0.033745,0.0330686,0.0331143
velocity_4w,0.0475999,0.0487576,0.0477446,0.0485321,0.0484453,0.0482159
bank_branch_count_8w,0.0429049,0.0500994,0.0388163,0.0411654,0.0429368,0.0431846
date_of_birth_distinct_emails_4w,0.107311,0.110843,0.110881,0.107957,0.107501,0.108899
credit_risk_score,0.152758,0.150983,0.15332,0.155658,0.157006,0.153945
email_is_free,0.279012,0.282431,0.278585,0.282004,0.280722,0.280551
phone_home_valid,0.461124,0.463104,0.467065,0.457163,0.447261,0.459143
phone_mobile_valid,0.0486182,0.0549237,0.0654329,0.0486182,0.0612292,0.0557645
bank_months_count,0.144523,0.146098,0.140717,0.14553,0.14058,0.14349
has_other_cards,0.395078,0.468755,0.448662,0.435266,0.441964,0.437945
proposed_credit_limit,0.107361,0.104457,0.116803,0.110336,0.109453,0.109682
foreign_request,0.0281935,0.0336242,0.0499163,0.017332,0.0444855,0.0347103
session_length_in_minutes,0.0127261,0.0130667,0.0130436,0.0129627,0.012208,0.0128014
keep_alive_session,0.324546,0.32916,0.32916,0.335621,0.33839,0.331375
device_distinct_emails_8w,0.0464597,0.0385126,0.0544067,0.0305656,0.0544067,0.0448703
prev_address_months_count_missing,0.593867,0.620676,0.640783,0.580462,0.613974,0.609952
bank_months_count_missing,0.0570261,0.0588199,0.0677891,0.057923,0.057923,0.0598962
current_address_months_count_missing,0.00323912,3.13991e-10,0.00323912,3.13991e-10,3.13991e-10,0.00129565
session_length_in_minutes_missing,0,0,0,0,0,0
device_distinct_emails_8w_missing,1.76056e-10,1.76056e-10,1.76056e-10,1.76056e-10,1.76056e-10,1.76056e-10
payment_type_AA,0.0632495,0.0595558,0.0625108,0.0610333,0.0669431,0.0626585
payment_type_AB,0.0309538,0.0322209,0.0310946,0.0312354,0.0302498,0.0311509
payment_type_AC,0.10202,0.0978358,0.110387,0.0992304,0.10202,0.102298
payment_type_AD,0.00634025,0.00608939,0.00483511,0.00709281,0.00634025,0.00613956
payment_type_AE,2.64897e-10,2.64897e-10,2.64897e-10,2.64897e-10,2.64897e-10,2.64897e-10
employment_status_CA,0.129808,0.124028,0.126918,0.116803,0.129808,0.125473
employment_status_CB,0.0622785,0.0554431,0.0656963,0.0588608,0.0708228,0.0626203
employment_status_CC,0.0440735,0.0440735,0.0295638,0.0295638,0.0440735,0.0382696
employment_status_CD,0.0203026,0.0203026,0.0170235,0.0137444,0.0137443,0.0170235
employment_status_CE,0.0303682,0.0360967,0.0189112,0.0303682,0.0303682,0.0292225
employment_status_CF,0.0569548,0.0505405,0.0697835,0.0441262,0.0377119,0.0518234
employment_status_CG,6.78016e-11,6.78016e-11,6.78016e-11,6.78016e-11,6.78016e-11,6.78016e-11
housing_status_BA,0.261144,0.23749,0.243403,0.284798,0.278884,0.261144
housing_status_BB,0.101229,0.0989482,0.0955267,0.0955267,0.0875432,0.0957548
housing_status_BC,0.0417531,0.0428778,0.0415282,0.041978,0.042203,0.042068
housing_status_BD,0.00363465,0.00569151,0.00294903,0.00294903,0.00432027,0.0039089
housing_status_BE,0.111824,0.105954,0.135304,0.114759,0.129434,0.119455
housing_status_BF,4.82403e-10,4.82403e-10,0.00390797,4.82403e-10,4.82403e-10,0.000781594
housing_status_BG,8.01625e-10,8.01625e-10,0.0381341,8.01625e-10,8.01625e-10,0.00762682
source_INTERNET,0.00300871,0.000864573,0.000864573,0.00300872,0.00300872,0.00215106
source_TELEAPP,0.00300871,0.000864573,0.000864573,0.00300872,0.00300872,0.00215106
device_os_linux,0.194066,0.204903,0.195614,0.195614,0.195614,0.197162
device_os_macintosh,0.0285868,0.0342736,0.0342736,0.0229001,0.0257435,0.0291555
device_os_other,0.112129,0.10999,0.111416,0.111416,0.111416,0.111274
device_os_windows,0.285201,0.268233,0.281807,0.291988,0.291988,0.283843
device_os_x11,0.000483037,8.07757e-05,8.07757e-05,0.000483037,8.07757e-05,0.00024168
