feature,client_0,mean
income,0.0148567,0.0148567
name_email_similarity,0.0206422,0.0206422
prev_address_months_count,0.00154864,0.00154864
current_address_months_count,0.00410837,0.00410837
customer_age,0.0122597,0.0122597
days_since_request,0.0016849,0.0016849
intended_balcon_amount,0.00692935,0.00692935
zip_count_4w,0.00533541,0.00533541
velocity_6h,0.00192188,0.00192188
velocity_24h,0.00230534,0.00230534
velocity_4w,0.0034645,0.0034645
bank_branch_count_8w,0.00261735,0.00261735
date_of_birth_distinct_emails_4w,0.00671437,0.00671437
credit_risk_score,0.00970818,0.00970818
email_is_free,0.0190801,0.0190801
phone_home_valid,0.0298658,0.0298658
phone_mobile_valid,0.00251572,0.00251572
bank_months_count,0.00912664,0.00912664
has_other_cards,0.0286348,0.0286348
proposed_credit_limit,0.00845307,0.00845307
foreign_request,0.00349151,0.00349151
session_length_in_minutes,0.00089698,0.00089698
keep_alive_session,0.0210932,0.0210932
device_distinct_emails_8w,0.00373755,0.00373755
prev_address_months_count_missing,0.0298694,0.0298694
bank_months_count_missing,0.00366161,0.00366161
current_address_months_count_missing,9.9308e-12,9.9308e-12
session_length_in_minutes_missing,0,0
device_distinct_emails_8w_missing,9.34157e-12,9.34157e-12
payment_type_AA,0.00302083,0.00302083
payment_type_AB,0.00293652,0.00293652
payment_type_AC,0.00557202,0.00557202
payment_type_AD,0.00068914,0.00068914
payment_type_AE,9.28696e-12,9.28696e-12
employment_status_CA,0.00672605,0.00672605
employment_status_CB,0.00622171,0.00622171
employment_status_CC,0.00213095,0.00213095
employment_status_CD,0.000670249,0.000670249
employment_status_CE,0.00101962,0.00101962
employment_status_CF,0.00165503,0.00165503
employment_status_CG,9.64797e-12,9.64797e-12
housing_status_BA,0.0180339,0.0180339
housing_status_BB,0.0073099,0.0073099
housing_status_BC,0.00454402,0.00454402
housing_status_BD,0.000115072,0.000115072
housing_status_BE,0.00414176,0.00414176
housing_status_BF,0.000238901,0.000238901
housing_status_BG,4.20889e-11,4.20889e-11
source_INTERNET,5.80852e-05,5.80852e-05
source_TELEAPP,5.80852e-05,5.80852e-05
device_os_linux,0.013123,0.013123
device_os_macintosh,0.00126631,0.00126631
device_os_other,0.00671343,0.00671343
device_os_windows,0.0179237,0.0179237
device_os_x11,4.5801e-05,4.5801e-05
