feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.518293,0.516298,0.502732,0.532258,0.528667,0.51965
name_email_similarity,0.569834,0.568866,0.569185,0.572784,0.57744,0.571622
prev_address_months_count,0.0337027,0.0287784,0.0344979,0.0332703,0.0382586,0.0337016
current_address_months_count,0.0185605,0.0182123,0.019989,0.0179024,0.0181149,0.0185558
customer_age,0.5273,0.526613,0.526613,0.520427,0.506681,0.521527
days_since_request,0.0582453,0.0722727,0.0456935,0.0705571,0.0968553,0.0687248
intended_balcon_amount,0.153248,0.141775,0.146946,0.148519,0.143997,0.146897
zip_count_4w,0.044328,0.0382611,0.0422507,0.0385477,0.0403723,0.0407519
velocity_6h,0.208397,0.205679,0.207442,0.208202,0.20623,0.20719
velocity_24h,0.185853,0.189649,0.187542,0.186769,0.187086,0.18738
velocity_4w,0.318837,0.319265,0.328599,0.318585,0.317335,0.320524
bank_branch_count_8w,0.0758142,0.0656873,0.0725879,0.0767245,0.0699527,0.0721533
date_of_birth_distinct_emails_4w,0.374531,0.372005,0.374523,0.379404,0.379272,0.375947
credit_risk_score,0.613337,0.592231,0.620462,0.592634,0.591471,0.602027
email_is_free,0.429572,0.430229,0.428915,0.429572,0.428258,0.429309
phone_home_valid,0.827521,0.786119,0.775768,0.793019,0.761968,0.788879
phone_mobile_valid,0.101137,0.105007,0.0895258,0.105007,0.0895258,0.0980406
bank_months_count,0.080233,0.0767298,0.0792791,0.0788051,0.0834201,0.0796934
has_other_cards,0.891595,0.866115,0.738717,0.840636,0.815156,0.830444
proposed_credit_limit,0.498156,0.42585,0.491475,0.460831,0.434061,0.462074
foreign_request,0.0195205,0.0110255,0.015273,0.015273,0.0131493,0.0148483
session_length_in_minutes,0.063155,0.0592286,0.0551946,0.0570613,0.0552063,0.0579692
keep_alive_session,0.570965,0.580624,0.582234,0.566135,0.577404,0.575472
device_distinct_emails_8w,0.0736207,0.0413599,0.0843743,0.0843743,0.0413599,0.0650178
prev_address_months_count_missing,2.25462,2.28007,2.15284,2.45818,2.45818,2.32078
bank_months_count_missing,0.0952226,0.0952226,0.0922736,0.108493,0.107019,0.0996461
current_address_months_count_missing,4.6907e-10,0.00967783,4.6907e-10,4.6907e-10,0.00967782,0.00387113
session_length_in_minutes_missing,0.0118653,0,0,0,0.0118653,0.00474613
device_distinct_emails_8w_missing,2.69419e-09,2.69419e-09,2.69419e-09,2.69419e-09,2.69419e-09,2.69419e-09
payment_type_AA,0.436302,0.446614,0.45177,0.462082,0.456926,0.450739
payment_type_AB,0.269156,0.271539,0.259622,0.259622,0.260814,0.26415
payment_type_AC,0.222075,0.231995,0.235302,0.261758,0.255144,0.241255
payment_type_AD,0.0605997,0.0444548,0.0629061,0.0398421,0.0444549,0.0504515
payment_type_AE,1.52703e-09,1.52703e-09,1.52703e-09,1.52703e-09,1.52703e-09,1.52703e-09
employment_status_CA,0.855938,0.930056,0.930056,0.866526,0.919468,0.900409
employment_status_CB,0.0561873,0.0662675,0.0595474,0.0461072,0.0612274,0.0578674
employment_status_CC,0.172421,0.196663,0.245146,0.269388,0.148179,0.206359
employment_status_CD,0.189104,0.23422,0.23422,0.189104,0.369568,0.243243
employment_status_CE,0.250573,0.250573,0.250573,0.308829,0.192318,0.250573
employment_status_CF,0.442152,0.386037,0.498268,0.554384,0.442152,0.464599
employment_status_CG,8.30024e-10,8.30024e-10,8.30024e-10,8.30024e-10,0.0298742,0.00597484
housing_status_BA,1.37312,1.23625,1.64686,0.989876,1.09937,1.2691
housing_status_BB,0.123312,0.126256,0.111534,0.133617,0.126256,0.124195
housing_status_BC,0.163688,0.169997,0.163688,0.169096,0.175405,0.168375
housing_status_BD,0.0414165,0.0216983,0.0348438,0.0282711,0.0282711,0.0309001
housing_status_BE,0.892136,0.869887,0.869887,0.95888,0.825391,0.883236
housing_status_BF,5.6948e-09,5.6948e-09,5.6948e-09,5.6948e-09,5.6948e-09,5.6948e-09
housing_status_BG,2.0194e-09,2.0194e-09,2.0194e-09,2.0194e-09,2.0194e-09,2.0194e-09
source_INTERNET,0.00933281,0.00933281,0.00933281,0.00268184,0.00933281,0.00800262
source_TELEAPP,0.00933281,0.00933281,0.00933281,0.00268184,0.00933281,0.00800262
device_os_linux,0.579826,0.593928,0.570424,0.631533,0.589227,0.592988
device_os_macintosh,0.0886898,0.0967133,0.0726429,0.0886898,0.0646195,0.0822711
device_os_other,0.370442,0.348157,0.3437,0.341472,0.345929,0.34994
device_os_windows,0.817951,0.871036,0.955971,0.839185,0.945354,0.885899
device_os_x11,0.00099423,0.00594547,0.015848,0.00099423,0.00099423,0.00495523
