feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.296316,0.311191,0.287419,0.284226,0.284253,0.292681
name_email_similarity,0.501005,0.500808,0.500435,0.499978,0.503231,0.501091
prev_address_months_count,0.124229,0.0974908,0.12716,0.137887,0.122481,0.12185
current_address_months_count,0.110944,0.107453,0.119483,0.102707,0.106544,0.109426
customer_age,0.240488,0.2321,0.240175,0.237354,0.238921,0.237808
days_since_request,0.00530496,0.00559702,0.00416175,0.0057843,0.00841378,0.00585236
intended_balcon_amount,1.1739,1.07485,1.12563,1.01938,1.08127,1.09501
zip_count_4w,0.181554,0.176146,0.173046,0.15774,0.164049,0.170507
velocity_6h,0.122321,0.120748,0.121761,0.120708,0.12167,0.121441
velocity_24h,0.258914,0.262387,0.261267,0.271812,0.264221,0.26372
velocity_4w,0.0968667,0.0963233,0.0998324,0.10017,0.0966805,0.0979746
bank_branch_count_8w,0.0174367,0.0154093,0.0166947,0.0156987,0.0177063,0.0165891
date_of_birth_distinct_emails_4w,0.251769,0.253708,0.251764,0.251967,0.250986,0.252039
credit_risk_score,0.256534,0.246943,0.259514,0.253884,0.246775,0.25273
email_is_free,0.483099,0.483099,0.48236,0.483838,0.47645,0.481769
phone_home_valid,0.876768,0.832902,0.821936,0.810969,0.825591,0.833633
phone_mobile_valid,0.0284767,0.0262972,0.0252074,0.0186689,0.0208484,0.0238997
bank_months_count,0.00390516,0.00381769,0.00385873,0.00377322,0.00383769,0.0038385
has_other_cards,3.79899,3.69042,3.1476,3.58186,3.74471,3.59272
proposed_credit_limit,0.128344,0.114774,0.126623,0.121096,0.113675,0.120902
foreign_request,0.152001,0.0693152,0.118927,0.118927,0.10239,0.112312
session_length_in_minutes,0.161418,0.134828,0.141072,0.165071,0.150009,0.15048
keep_alive_session,0.341124,0.350743,0.347857,0.343048,0.348819,0.346318
device_distinct_emails_8w,0.025264,0.025264,0.0289542,0.0289542,0.0215737,0.026002
prev_address_months_count_missing,1.40284,1.35534,1.33951,1.64032,1.46617,1.44084
bank_months_count_missing,0.245533,0.215116,0.237929,0.287355,0.279751,0.253137
current_address_months_count_missing,1.68836e-08,1.68836e-08,1.68836e-08,1.68836e-08,1.68836e-08,1.68836e-08
session_length_in_minutes_missing,0.141284,0,0,0,0,0.0282567
device_distinct_emails_8w_missing,8.72109e-09,8.72109e-09,8.72109e-09,8.72109e-09,8.72109e-09,8.72109e-09
payment_type_AA,0.0655425,0.071739,0.0678662,0.0632189,0.0655425,0.0667818
payment_type_AB,0.394101,0.397591,0.380141,0.380141,0.381886,0.386772
payment_type_AC,0.00718018,0.00653865,0.00760786,0.00867707,0.00846323,0.0076934
payment_type_AD,0.455141,0.385851,0.472463,0.403173,0.368528,0.417031
payment_type_AE,3.66902e-09,3.66902e-09,3.66902e-09,3.66902e-09,3.66902e-09,3.66902e-09
employment_status_CA,1.1162,1.14382,1.21285,1.08858,1.24047,1.16038
employment_status_CB,0.543751,0.478718,0.576267,0.446201,0.608784,0.530744
employment_status_CC,0.191095,0.13736,0.271697,0.191095,0.191095,0.196469
employment_status_CD,0.653532,0.653531,0.80945,0.653532,1.12129,0.778266
employment_status_CE,0.762501,0.939775,0.762501,0.939775,1.29432,0.939775
employment_status_CF,0.179597,0.339151,0.20239,0.247977,0.156803,0.225184
employment_status_CG,6.32489e-09,6.32489e-09,6.32489e-09,6.32489e-09,6.32489e-09,6.32489e-09
housing_status_BA,3.3654,2.66895,4.03632,3.09703,2.82866,3.19927
housing_status_BB,7.26348,7.3502,6.56973,7.17676,7.69708,7.21145
housing_status_BC,2.9447,3.1717,2.9447,3.00956,3.00956,3.01604
housing_status_BD,0.821444,0.691082,0.691082,0.951806,0.821443,0.795371
housing_status_BE,1.96651,1.789,1.91747,1.96651,1.86843,1.90158
housing_status_BF,2.43836e-08,2.43836e-08,2.43836e-08,2.43836e-08,0.197532,0.0395065
housing_status_BG,4.8518e-09,4.8518e-09,4.8518e-09,4.8518e-09,4.8518e-09,4.8518e-09
source_INTERNET,0.213266,0.0612834,0.213266,0.0612834,0.213266,0.152473
source_TELEAPP,0.213266,0.0612834,0.213266,0.0612834,0.213266,0.152473
device_os_linux,0.817914,0.897485,0.804652,0.870961,0.857699,0.849742
device_os_macintosh,1.45973,1.06356,1.19562,1.59178,1.32767,1.32767
device_os_other,0.0440821,0.0419607,0.0408999,0.0411651,0.0411651,0.0418546
device_os_windows,0.870954,0.859649,1.01792,0.893564,0.927479,0.913913
device_os_x11,0.0322266,0.0322266,0.513691,0.0322266,0.192714,0.160617
