feature,client_0,client_1,client_2,client_3,client_4,mean
income,0.0938579,0.0965374,0.0948255,0.0936346,0.0928158,0.0943342
name_email_similarity,0.0570773,0.0561344,0.0553053,0.0548708,0.0546258,0.0556027
prev_address_months_count,0.296585,0.233605,0.3133,0.238724,0.395155,0.295474
current_address_months_count,0.0421551,0.0417917,0.0417589,0.0450495,0.0423297,0.042617
customer_age,0.00807965,0.00793221,0.0077953,0.00801646,0.00793221,0.00795117
days_since_request,0.00323967,0.00261155,0.00234232,0.00196075,0.00335015,0.00270089
intended_balcon_amount,0.0482197,0.0460775,0.0447609,0.0463027,0.0518852,0.0474492
zip_count_4w,0.00560419,0.00570525,0.00520941,0.00523236,0.00517796,0.00538583
velocity_6h,0.00587506,0.00584906,0.00584104,0.00586063,0.00589491,0.00586414
velocity_24h,0.0300953,0.0300341,0.0302806,0.0308927,0.0302734,0.0303152
velocity_4w,0.0130092,0.0133256,0.0130488,0.013264,0.0132403,0.0131776
bank_branch_count_8w,0.00984145,0.0114917,0.00890363,0.00944246,0.00984878,0.00990561
date_of_birth_distinct_emails_4w,0.0192138,0.0198462,0.019853,0.0193294,0.0192478,0.019498
credit_risk_score,0.0533695,0.0527496,0.0535661,0.0543827,0.0548537,0.0537843
email_is_free,0.0532864,0.0539393,0.0532048,0.0538577,0.0536128,0.0535802
phone_home_valid,0.135396,0.135977,0.13714,0.134233,0.131326,0.134814
phone_mobile_valid,0.00847871,0.00957835,0.0114111,0.00847871,0.010678,0.00972497
bank_months_count,0.0013421,0.00135672,0.00130675,0.00135144,0.00130548,0.0013325
has_other_cards,0.222626,0.264143,0.25282,0.245271,0.249046,0.246781
proposed_credit_limit,0.0135583,0.0131916,0.0147508,0.0139341,0.0138225,0.0138514
foreign_request,0.000276144,0.000329335,0.00048891,0.00016976,0.000435718,0.000339973
session_length_in_minutes,0.0123985,0.0127305,0.0127079,0.0126291,0.0118938,0.012472
keep_alive_session,0.0598598,0.0607109,0.0607109,0.0619025,0.0624132,0.0611194
device_distinct_emails_8w,0.00346881,0.00287546,0.00406216,0.00228211,0.00406216,0.00335014
prev_address_months_count_missing,1.84201,1.92517,1.98753,1.80044,1.90438,1.89191
bank_months_count_missing,0.0336609,0.0347198,0.040014,0.0341903,0.0341903,0.0353551
current_address_months_count_missing,0.132175,1.28126e-08,0.132175,1.28126e-08,1.28126e-08,0.0528698
session_length_in_minutes_missing,0,0,0,0,0,0
device_distinct_emails_8w_missing,8.21951e-09,8.21951e-09,8.21951e-09,8.21951e-09,8.21951e-09,8.21951e-09
payment_type_AA,0.0022766,0.00214365,0.00225001,0.00219683,0.00240955,0.00225533
payment_type_AB,0.0156796,0.0163214,0.0157509,0.0158222,0.015323,0.0157794
payment_type_AC,0.0046228,0.00443322,0.00500196,0.00449642,0.0046228,0.00463544
payment_type_AD,0.00537581,0.00516311,0.00409963,0.0060139,0.00537581,0.00520565
payment_type_AE,4.65954e-09,4.65954e-09,4.65954e-09,4.65954e-09,4.65954e-09,4.65954e-09
employment_status_CA,0.685085,0.654582,0.669833,0.616453,0.685085,0.662208
employment_status_CB,0.39978,0.355902,0.421719,0.377841,0.454628,0.401974
employment_status_CC,0.112147,0.112147,0.0752263,0.0752263,0.112147,0.0973787
employment_status_CD,0.0913244,0.0913244,0.0765744,0.0618245,0.0618245,0.0765745
employment_status_CE,0.356031,0.423191,0.221712,0.356031,0.356031,0.342599
employment_status_CF,0.830744,0.737185,1.01786,0.643626,0.550066,0.755897
employment_status_CG,6.39638e-09,6.39638e-09,6.39638e-09,6.39638e-09,6.39638e-09,6.39638e-09
housing_status_BA,0.150958,0.137284,0.140703,0.164632,0.161213,0.150958
housing_status_BB,0.141368,0.138183,0.133404,0.133404,0.122255,0.133723
housing_status_BC,0.195396,0.200659,0.194343,0.196449,0.197501,0.19687
housing_status_BD,0.00672898,0.0105369,0.00545966,0.00545966,0.0079983,0.0072367
housing_status_BE,0.401847,0.380752,0.486226,0.412394,0.465131,0.42927
housing_status_BF,1.36092e-08,1.36092e-08,0.110249,1.36092e-08,1.36092e-08,0.0220498
housing_status_BG,6.16115e-09,6.16115e-09,0.293092,6.16115e-09,6.16115e-09,0.0586183
source_INTERNET,0.022887,0.00657674,0.00657674,0.0228871,0.0228871,0.0163629
source_TELEAPP,0.022887,0.00657674,0.00657674,0.0228871,0.0228871,0.0163629
device_os_linux,0.0184179,0.0194464,0.0185648,0.0185648,0.0185648,0.0187118
device_os_macintosh,0.0173992,0.0208605,0.0208605,0.013938,0.0156686,0.0177454
device_os_other,0.0224609,0.0220323,0.022318,0.022318,0.022318,0.0222895
device_os_windows,0.0731799,0.0688261,0.0723092,0.0749214,0.0749214,0.0728316
device_os_x11,0.0086029,0.00143862,0.00143862,0.00860291,0.00143862,0.00430433
