feature,client_0,mean
income,0.117626,0.117626
name_email_similarity,0.169388,0.169388
prev_address_months_count,0.00303269,0.00303269
current_address_months_count,0.122856,0.122856
customer_age,0.0484576,0.0484576
days_since_request,0.0204886,0.0204886
intended_balcon_amount,0.0821141,0.0821141
zip_count_4w,0.0225712,0.0225712
velocity_6h,0.00564897,0.00564897
velocity_24h,0.00607752,0.00607752
velocity_4w,0.0454113,0.0454113
bank_branch_count_8w,0.0845225,0.0845225
date_of_birth_distinct_emails_4w,0.0396078,0.0396078
credit_risk_score,0.0664069,0.0664069
email_is_free,0.0967001,0.0967001
phone_home_valid,0.196553,0.196553
phone_mobile_valid,0.00372392,0.00372392
bank_months_count,0.0252058,0.0252058
has_other_cards,0.225305,0.225305
proposed_credit_limit,0.0312113,0.0312113
foreign_request,0.00471586,0.00471586
session_length_in_minutes,0.00685823,0.00685823
keep_alive_session,0.214511,0.214511
device_distinct_emails_8w,0.031288,0.031288
prev_address_months_count_missing,0.203669,0.203669
bank_months_count_missing,0.00315353,0.00315353
current_address_months_count_missing,0,0
session_length_in_minutes_missing,0,0
device_distinct_emails_8w_missing,0,0
payment_type_AA,0.000161658,0.000161658
payment_type_AB,0,0
payment_type_AC,0.00954119,0.00954119
payment_type_AD,0,0
payment_type_AE,0,0
employment_status_CA,0.0343638,0.0343638
employment_status_CB,0.0137781,0.0137781
employment_status_CC,0.00445754,0.00445754
employment_status_CD,0,0
employment_status_CE,0,0
employment_status_CF,5.415e-05,5.415e-05
employment_status_CG,0,0
housing_status_BA,0.321935,0.321935
housing_status_BB,0.00425296,0.00425296
housing_status_BC,0.00320829,0.00320829
housing_status_BD,0.000524313,0.000524313
housing_status_BE,0.0250934,0.0250934
housing_status_BF,0,0
housing_status_BG,0,0
source_INTERNET,2.14733e-05,2.14733e-05
source_TELEAPP,0,0
device_os_linux,0.014651,0.014651
device_os_macintosh,0.0146924,0.0146924
device_os_other,0.00586095,0.00586095
device_os_windows,0.266143,0.266143
device_os_x11,2.10009e-05,2.10009e-05
