feature,client_0,mean
Time,0.000957945,0.000957945
V1,0.00227853,0.00227853
V2,0.00193494,0.00193494
V3,0.0315625,0.0315625
V4,0.548644,0.548644
V5,0.0151047,0.0151047
V6,0.000542104,0.000542104
V7,0.0460282,0.0460282
V8,0.000780746,0.000780746
V9,0.00465843,0.00465843
V10,0.0947001,0.0947001
V11,0.0839231,0.0839231
V12,0.150167,0.150167
V13,0.0175208,0.0175208
V14,1.01043,1.01043
V15,0.0666209,0.0666209
V16,0.0150182,0.0150182
V17,0.0653189,0.0653189
V18,0.000869047,0.000869047
V19,0.0017333,0.0017333
V20,0.039051,0.039051
V21,0.0653234,0.0653234
V22,0.0117222,0.0117222
V23,0.00038307,0.00038307
V24,0.000771143,0.000771143
V25,0.000771827,0.000771827
V26,0.00120458,0.00120458
V27,0.0163241,0.0163241
V28,0.000391598,0.000391598
Amount,0.00089419,0.00089419
