feature,client_0,mean
Time,0.24852,0.24852
V1,0.256889,0.256889
V2,0.338645,0.338645
V3,0.162272,0.162272
V4,1.49902,1.49902
V5,0.822054,0.822054
V6,0.0226727,0.0226727
V7,0.150627,0.150627
V8,0.575577,0.575577
V9,0.0278047,0.0278047
V10,0.0670009,0.0670009
V11,0.089192,0.089192
V12,0.0412023,0.0412023
V13,0.0612336,0.0612336
V14,0.440621,0.440621
V15,0.22216,0.22216
V16,0.198117,0.198117
V17,0.398216,0.398216
V18,0.215592,0.215592
V19,0.0394191,0.0394191
V20,0.135829,0.135829
V21,0.0407399,0.0407399
V22,0.127445,0.127445
V23,0.171388,0.171388
V24,0.0142671,0.0142671
V25,0.195464,0.195464
V26,0.0743429,0.0743429
V27,0.0120277,0.0120277
V28,0.155969,0.155969
Amount,0.0132332,0.0132332
