feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.0310766,0.0323739,0.0281384,0.0256602,0.0333786,0.0301255
V1,0.00334472,0.00277829,0.00299085,0.00539628,0.00220983,0.00334399
V2,0.0114606,0.0113469,0.0123222,0.0135263,0.0141873,0.0125687
V3,0.0869549,0.118537,0.0952927,0.107119,0.0930041,0.100181
V4,0.29744,0.334573,0.291429,0.380195,0.296296,0.319987
V5,0.00131586,0.00110885,0.00251512,0.00133483,0.00145366,0.00154566
V6,0.0305557,0.0337167,0.0270305,0.0532057,0.0337865,0.035659
V7,0.0246679,0.0188899,0.0199063,0.0322676,0.0217744,0.0235012
V8,0.0171342,0.0227723,0.0244489,0.0203786,0.0187525,0.0206973
V9,0.00123475,0.000602827,0.00139908,0.000953087,0.00153675,0.0011453
V10,0.0918248,0.101448,0.112272,0.115874,0.0942373,0.103131
V11,0.0335478,0.0528835,0.0359139,0.045989,0.035467,0.0407602
V12,0.169777,0.19867,0.18396,0.186978,0.190056,0.185888
V13,0.0489166,0.0519834,0.0539866,0.0629294,0.0540676,0.0543767
V14,0.207158,0.198032,0.178319,0.221113,0.1877,0.198465
V15,0.0204355,0.0182785,0.0249189,0.0182643,0.0251126,0.021402
V16,0.0649186,0.0679802,0.0640515,0.0706231,0.0697711,0.0674689
V17,0.172206,0.164356,0.159433,0.166572,0.16365,0.165243
V18,0.00119367,0.00153152,0.0014001,0.00180213,0.00254559,0.0016946
V19,0.0160471,0.0181655,0.019759,0.019403,0.0171629,0.0181075
V20,0.0196953,0.017395,0.0151103,0.0145555,0.0111883,0.0155889
V21,0.0425477,0.0377097,0.0429844,0.0882244,0.0437097,0.0510352
V22,0.0120297,0.0172564,0.0173858,0.0157067,0.0164335,0.0157624
V23,0.0139413,0.0133609,0.0148589,0.00539167,0.00671022,0.0108526
V24,0.0126907,0.012269,0.0126437,0.0251943,0.014282,0.015416
V25,0.00118118,0.00122793,0.000961599,0.0012347,0.00152597,0.00122628
V26,0.00110054,0.00173751,0.0019481,0.000740098,0.000570398,0.00121933
V27,0.00245118,0.00235526,0.00451905,0.00460222,0.00247443,0.00328043
V28,0.0213451,0.0217164,0.0203031,0.0230881,0.0202484,0.0213402
Amount,0.0123217,0.0159081,0.0163771,0.0159944,0.0122689,0.014574
