feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.245208,0.174519,0.198964,0.130539,0.22253,0.194352
V1,0.0863025,0.188212,0.125309,0.0930357,0.13057,0.124686
V2,0.144797,0.138562,0.16151,0.165986,0.160987,0.154368
V3,0.231483,0.224988,0.188549,0.19816,0.266255,0.221887
V4,1.05703,0.990623,0.943408,0.836463,1.12453,0.99041
V5,0.367322,0.304665,0.313754,0.374086,0.240025,0.31997
V6,0.0644564,0.0261525,0.0372899,0.0577351,0.0398077,0.0450883
V7,0.0151067,0.0277345,0.0254669,0.0265583,0.0160419,0.0221817
V8,0.259876,0.210883,0.273835,0.226784,0.169607,0.228197
V9,0.00159582,0.00177165,0.00154449,0.00176402,0.00168003,0.0016712
V10,0.0459819,0.0824005,0.0259649,0.0339672,0.0954567,0.0567543
V11,0.453022,0.326028,0.335226,0.349711,0.518323,0.396462
V12,0.0492696,0.0695835,0.0496121,0.0397208,0.126313,0.0668997
V13,0.208847,0.149173,0.129224,0.216888,0.188433,0.178513
V14,0.588656,0.535011,0.54734,0.663193,0.509419,0.568724
V15,0.224136,0.169192,0.260839,0.28347,0.190984,0.225724
V16,0.2949,0.247688,0.249966,0.294867,0.205723,0.258629
V17,0.212066,0.160611,0.163458,0.203914,0.199488,0.187907
V18,0.289852,0.203652,0.472412,0.299959,0.672242,0.387624
V19,0.117021,0.0822711,0.111277,0.0980176,0.103212,0.10236
V20,0.13662,0.153062,0.141954,0.118265,0.120335,0.134047
V21,0.14632,0.145719,0.177498,0.125656,0.175894,0.154217
V22,0.0305439,0.0339113,0.0371885,0.043684,0.0320246,0.0354705
V23,0.00435763,0.0095168,0.00875261,0.0030826,0.0068112,0.00650417
V24,0.0114218,0.022684,0.0170104,0.0123241,0.0468942,0.0220669
V25,0.162437,0.153794,0.133176,0.160699,0.145119,0.151045
V26,0.187906,0.209979,0.20613,0.181377,0.215829,0.200244
V27,0.00320598,0.00290399,0.00300431,0.00273804,0.00408706,0.00318788
V28,0.0517706,0.0358817,0.0536424,0.0493356,0.0338477,0.0448956
Amount,0.0494203,0.0304319,0.0385973,0.0341748,0.0486253,0.0402499
