feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.000525518,0.000506933,0.000396962,0.000492232,0.000442301,0.000472789
V1,0.000559626,0.000736109,0.000727495,0.000671164,0.00058951,0.000656781
V2,0.0111428,0.010215,0.01281,0.00818609,0.0110506,0.0106809
V3,0.0404966,0.0426358,0.0365165,0.0467405,0.0393208,0.041142
V4,0.229025,0.320578,0.246947,0.25216,0.251223,0.259987
V5,0.0563363,0.0602617,0.0617276,0.0548377,0.0688303,0.0603987
V6,0.0119533,0.0120917,0.0137829,0.0150533,0.013406,0.0132574
V7,0.0118756,0.0111001,0.0119432,0.0107308,0.010842,0.0112984
V8,0.000367629,0.000475622,0.000309656,0.000227339,0.000227917,0.000321632
V9,0.000457109,0.000224977,0.000164925,0.000232599,0.000184449,0.000252812
V10,0.0898028,0.0915896,0.0902326,0.0845412,0.0802807,0.0872894
V11,0.0161502,0.0135562,0.0181654,0.014796,0.0210066,0.0167349
V12,0.078499,0.0685519,0.0755972,0.077656,0.0660353,0.0732679
V13,0.00066255,0.000781598,0.000940327,0.000582985,0.000706583,0.000734809
V14,0.181647,0.171002,0.19301,0.194427,0.183339,0.184685
V15,0.00372262,0.00287194,0.00331948,0.00301371,0.0039592,0.00337739
V16,0.0116735,0.00994369,0.0101311,0.00977467,0.0135248,0.0110095
V17,0.0032899,0.00248902,0.00247084,0.00271807,0.00174092,0.00254175
V18,0.000188749,0.000238054,0.000187999,0.000182702,0.000161357,0.000191772
V19,0.00323413,0.00262483,0.00359149,0.00236279,0.00294258,0.00295117
V20,0.00486274,0.0045351,0.00519901,0.00470336,0.00472919,0.00480588
V21,0.0361019,0.0494234,0.0451291,0.0420733,0.0510909,0.0447637
V22,0.00388823,0.00470757,0.00331522,0.00509635,0.00463592,0.00432866
V23,0.00126886,0.00158178,0.0006109,0.000650244,0.00131591,0.00108554
V24,0.000197278,9.48617e-05,0.000251053,0.00017155,0.000130912,0.000169131
V25,0.0116637,0.00978323,0.0107921,0.0123757,0.0115503,0.011233
V26,0.00913642,0.00816151,0.00814874,0.00732416,0.0100268,0.00855953
V27,0.0027179,0.00284589,0.00243453,0.00322613,0.00359576,0.00296404
V28,0.00317615,0.00302714,0.00313162,0.00367367,0.0040396,0.00340964
Amount,0.000242672,0.000236318,0.000139624,0.00016249,0.000122253,0.000180671
