feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.0678668,0.0556293,0.0564062,0.129184,0.129712,0.0877598
V1,0.229967,0.146041,0.242226,0.390508,0.435804,0.288909
V2,0.0135207,0.00879601,0.0118014,0.0169014,0.00446651,0.0110972
V3,0.0465215,0.0523957,0.0332559,0.0341885,0.0505097,0.0433743
V4,0.532337,0.535164,0.61861,0.68129,0.681359,0.609752
V5,0.133655,0.154064,0.182907,0.168933,0.126687,0.153249
V6,0.116291,0.232464,0.133683,0.162171,0.105716,0.150065
V7,0.275873,0.194446,0.286861,0.286744,0.206152,0.250015
V8,0.206518,0.222867,0.248377,0.255034,0.232906,0.23314
V9,0.110368,0.106697,0.140007,0.132967,0.150293,0.128066
V10,0.0853869,0.10076,0.0823988,0.0928135,0.133817,0.0990352
V11,0.0564011,0.075891,0.0649979,0.06436,0.121108,0.0765516
V12,0.0500988,0.0548096,0.0958859,0.0512111,0.0867818,0.0677574
V13,0.0176648,0.0194052,0.0201585,0.0286066,0.0393015,0.0250273
V14,0.216343,0.167632,0.23566,0.270899,0.275328,0.233173
V15,0.0586701,0.0905001,0.0866853,0.0522074,0.0655287,0.0707183
V16,0.124996,0.127649,0.150582,0.151203,0.135306,0.137947
V17,0.0488723,0.0556399,0.0608426,0.0400299,0.054601,0.0519972
V18,0.102815,0.0955812,0.126973,0.152922,0.172661,0.13019
V19,0.0505597,0.0648846,0.079562,0.0828338,0.0687238,0.0693128
V20,0.0393836,0.0495132,0.0319265,0.0292784,0.0238765,0.0347957
V21,0.247845,0.356083,0.377862,0.285658,0.333619,0.320213
V22,0.00228728,0.00628738,0.00192965,0.00225765,0.0065915,0.00387069
V23,0.0561397,0.0486092,0.0595217,0.070314,0.104056,0.0677281
V24,0.0298016,0.0229598,0.0397182,0.0281703,0.0338898,0.0309079
V25,0.178143,0.143587,0.210887,0.215723,0.223217,0.194311
V26,0.357882,0.383617,0.443151,0.50147,0.502681,0.43776
V27,0.0359056,0.0319911,0.0528846,0.0461452,0.051331,0.0436515
V28,0.0219003,0.0198549,0.0276694,0.0299928,0.0285367,0.0255908
Amount,0.040161,0.0439217,0.0494349,0.0518768,0.0488476,0.0468484
