feature,client_0,client_1,client_2,client_3,client_4,mean
Time,1.46791e-06,9.35683e-07,9.12564e-07,5.54387e-07,6.34148e-07,9.00939e-07
V1,1.30208e-06,1.56339e-06,1.29758e-06,1.10409e-06,6.23389e-07,1.17811e-06
V2,7.43559e-06,6.52878e-06,6.32181e-06,6.56477e-06,5.28336e-06,6.42686e-06
V3,0.000184069,0.000183137,0.000274309,0.00029799,0.000377543,0.000263409
V4,0.00405382,0.00526211,0.00532683,0.0058801,0.00622852,0.00535028
V5,4.49258e-06,2.72388e-06,2.99439e-06,2.05878e-06,9.69723e-07,2.64787e-06
V6,4.73558e-06,3.58756e-06,3.51201e-06,2.87263e-06,1.32442e-06,3.20644e-06
V7,0.000188215,0.000160027,9.9726e-05,0.000169404,0.000518725,0.000227219
V8,2.97843e-06,3.01502e-06,2.90591e-06,2.00465e-06,1.51265e-06,2.48333e-06
V9,1.49261e-06,1.44317e-06,3.36842e-06,1.15565e-06,6.41334e-05,1.43187e-05
V10,0.000920723,0.000976653,0.00102882,0.000855915,0.00192316,0.00114105
V11,7.85462e-05,7.85223e-05,7.82878e-05,7.8586e-05,7.55632e-05,7.79011e-05
V12,0.000309013,0.000376607,0.000333545,0.000307926,0.00106894,0.000479206
V13,2.38476e-06,1.72979e-06,1.92751e-06,2.16154e-06,4.33056e-07,1.72733e-06
V14,0.00165965,0.00179188,0.00271771,0.00409649,0.0045801,0.00296917
V15,1.12808e-06,1.38815e-06,1.39181e-06,5.3563e-07,2.52885e-07,9.39311e-07
V16,3.83366e-05,3.8145e-05,3.82701e-05,3.81046e-05,0.000120028,5.45769e-05
V17,0.000151394,0.000151487,0.000150155,0.000147862,0.000389074,0.000197994
V18,2.32715e-06,1.63432e-06,1.48255e-06,1.37251e-06,5.83635e-07,1.48003e-06
V19,0.000147396,0.000147458,0.000147611,0.000147402,0.000167804,0.000151534
V20,9.48459e-05,5.26829e-05,6.74057e-05,5.28114e-05,5.02556e-05,6.36003e-05
V21,5.08372e-06,4.13236e-06,4.2323e-06,3.91467e-06,3.6551e-06,4.20363e-06
V22,2.71019e-05,2.64565e-05,2.56437e-05,2.55973e-05,2.55516e-05,2.60702e-05
V23,1.72357e-06,9.96624e-07,9.73604e-07,9.1754e-07,4.14657e-07,1.0052e-06
V24,3.58862e-06,3.23313e-06,3.17926e-06,2.90598e-06,2.05627e-06,2.99265e-06
V25,9.30522e-07,1.10371e-06,7.18955e-07,6.17403e-07,3.28044e-07,7.39727e-07
V26,1.36116e-05,1.26965e-05,1.08452e-05,1.31652e-05,2.285e-05,1.46337e-05
V27,2.60588e-06,1.83824e-06,2.39861e-06,2.41836e-06,1.13454e-06,2.07912e-06
V28,1.61484e-06,1.31271e-06,1.26136e-06,1.46184e-06,7.55532e-07,1.28126e-06
Amount,4.69266e-06,3.76507e-06,3.2795e-06,2.83524e-06,2.15975e-06,3.34644e-06
