feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.000155142,0.000127507,0.000119556,0.00012411,0.000166568,0.000138577
V1,5.18467e-05,6.87714e-05,8.5871e-05,7.55116e-05,0.000130309,8.24618e-05
V2,7.40419e-05,5.53577e-05,6.82004e-05,6.59368e-05,8.53144e-05,6.97702e-05
V3,5.64573e-05,8.09034e-05,3.94578e-05,5.0886e-05,0.000107535,6.70479e-05
V4,0.0141038,0.0137028,0.010629,0.0120981,0.0148469,0.0130761
V5,0.000430189,0.000213494,0.000375017,0.000410176,0.000504919,0.000386759
V6,9.50528e-05,8.1254e-05,9.84466e-05,0.000119394,0.000105734,9.99762e-05
V7,0.000475598,0.000885039,0.00231905,0.000427626,0.000238976,0.000869257
V8,0.00077423,0.00076097,0.000882675,0.00100599,0.00100046,0.000884867
V9,4.92906e-05,8.26648e-05,6.17572e-05,3.80399e-05,4.2533e-05,5.48571e-05
V10,0.00150048,0.00375173,0.00108029,0.00053838,0.000504655,0.00147511
V11,0.00140382,0.00204378,0.00136171,0.00146146,0.00148481,0.00155112
V12,0.00267445,0.00267897,0.00156123,0.00235099,0.00248125,0.00234938
V13,0.000942017,0.00091296,0.000559201,0.000619264,0.00170638,0.000947965
V14,0.0110184,0.0139082,0.0129757,0.00780764,0.0110608,0.0113541
V15,5.12502e-05,7.00964e-05,4.62178e-05,7.68559e-05,8.1476e-05,6.51792e-05
V16,0.000958766,0.000467576,0.00102322,0.000977222,0.000811328,0.000847622
V17,0.00295412,0.00568396,0.00167,0.0013266,0.00135273,0.00259749
V18,4.78879e-05,3.64862e-05,5.30475e-05,3.81688e-05,6.06633e-05,4.72507e-05
V19,0.000422275,0.000360088,0.000398781,0.000396755,0.000400022,0.000395584
V20,0.000216194,0.000160691,0.000235885,0.00022412,0.000242071,0.000215792
V21,0.000738798,0.00108328,0.000746689,0.00092076,0.0010038,0.000898665
V22,0.000234293,0.000148773,0.000318808,0.000436568,0.000220885,0.000271866
V23,0.00031637,0.00027768,0.000438133,0.000553909,0.000637005,0.000444619
V24,6.94492e-05,5.65323e-05,9.42922e-05,6.52387e-05,8.93543e-05,7.49734e-05
V25,0.00068156,0.000539539,0.000690215,0.000799872,0.000756642,0.000693566
V26,0.000529641,0.000446442,0.000557794,0.000418772,0.000612414,0.000513013
V27,0.000109821,7.40828e-05,9.05982e-05,0.000138265,0.000114541,0.000105462
V28,0.000362112,0.000242332,0.000351247,0.0007509,0.000486204,0.000438559
Amount,0.000130135,0.000135219,0.000153917,0.000144172,0.000157607,0.00014421
