feature,client_0,client_1,client_2,client_3,client_4,mean
Time,8.62669e-06,1.15493e-05,8.03685e-06,1.03043e-05,1.1149e-05,9.93323e-06
V1,6.7377e-07,2.98205e-07,4.28144e-07,1.48016e-07,3.20647e-07,3.73756e-07
V2,9.84758e-07,6.99016e-07,1.17428e-06,6.33214e-07,9.11427e-07,8.80539e-07
V3,3.25247e-05,3.19978e-05,3.22583e-05,3.24407e-05,3.23136e-05,3.2307e-05
V4,0.000811243,0.0011289,0.000851632,0.00109751,0.000893607,0.000956577
V5,1.20244e-06,2.49336e-07,8.83992e-07,2.44904e-07,6.67149e-07,6.49565e-07
V6,6.17727e-07,3.72257e-07,3.96174e-07,1.78111e-07,4.91111e-07,4.11076e-07
V7,4.84456e-05,3.78475e-05,5.3497e-05,0.000120796,4.00773e-05,6.01326e-05
V8,4.02463e-07,8.85209e-07,7.5995e-07,8.86736e-07,7.63564e-07,7.39584e-07
V9,4.53054e-06,3.66218e-06,4.31712e-06,3.77155e-06,3.77521e-06,4.01132e-06
V10,0.00195482,0.000985465,0.000879235,0.000881739,0.000880183,0.00111629
V11,0.000116838,0.000169168,0.000103861,0.000164784,0.000147264,0.000140383
V12,0.000507199,0.00121064,0.000496273,0.000895268,0.000499078,0.000721691
V13,1.39277e-06,1.13015e-06,1.47308e-06,7.20031e-07,1.20026e-06,1.18326e-06
V14,0.00369285,0.00364443,0.00374224,0.00633109,0.00371026,0.00422417
V15,1.86126e-06,1.50627e-06,1.44579e-06,1.53245e-06,1.30205e-06,1.52956e-06
V16,1.15162e-06,4.25298e-07,7.33058e-07,4.54868e-07,5.21986e-07,6.57367e-07
V17,0.000101148,0.000101401,0.000100071,0.000102963,0.000101074,0.000101331
V18,1.41764e-06,1.53092e-06,1.20305e-06,1.53149e-06,1.36325e-06,1.40927e-06
V19,8.27989e-05,8.18306e-05,8.28545e-05,8.03031e-05,8.21755e-05,8.19925e-05
V20,2.81309e-06,1.07888e-06,2.50232e-06,1.26514e-06,1.58443e-06,1.84877e-06
V21,2.2812e-06,1.80908e-07,8.82636e-07,2.93207e-07,6.45256e-07,8.56641e-07
V22,9.83081e-07,8.95687e-07,1.08611e-06,1.12194e-06,1.06462e-06,1.03029e-06
V23,1.24928e-06,8.17701e-07,1.65751e-06,7.66136e-07,1.283e-06,1.15472e-06
V24,1.87552e-06,9.49734e-07,1.83753e-06,7.06914e-07,1.03471e-06,1.28088e-06
V25,9.34357e-07,4.96564e-07,7.34365e-07,4.56116e-07,4.61878e-07,6.16656e-07
V26,8.72184e-07,3.15803e-07,2.60235e-07,2.25308e-07,3.24206e-07,3.99547e-07
V27,3.64807e-06,2.29046e-06,2.91555e-06,2.53839e-06,2.4942e-06,2.77733e-06
V28,6.10806e-07,3.10487e-07,3.67509e-07,2.00354e-07,1.84041e-07,3.3464e-07
Amount,1.232e-06,1.40368e-07,1.13052e-06,5.77598e-07,4.23669e-07,7.00832e-07
