feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.000159789,0.00014562,0.00017268,0.000161644,0.000211108,0.000170168
V1,0.000225199,0.000329428,0.000172317,0.000403188,0.000167981,0.000259623
V2,1.14265e-05,1.70245e-05,3.17588e-05,3.18429e-05,1.95335e-05,2.23173e-05
V3,0.000885203,0.000726893,0.000588418,0.000580048,0.000614874,0.000679087
V4,0.0143622,0.0157026,0.0161825,0.0133083,0.0123222,0.0143756
V5,0.000333456,0.000274725,0.00025123,0.000239586,0.000198333,0.000259466
V6,0.000267387,0.000169521,0.000555751,0.00046492,0.000251871,0.00034189
V7,0.00154581,0.000958225,0.000704479,0.00139428,0.000927764,0.00110611
V8,0.000397515,0.000416444,0.000834411,0.000788373,0.000465679,0.000580484
V9,5.68455e-05,8.18789e-05,7.33186e-05,3.49314e-05,0.000182864,8.59677e-05
V10,0.00263481,0.0028325,0.00375102,0.00471917,0.00426329,0.00364016
V11,0.000346765,0.000432362,0.000390497,0.00044355,0.000280359,0.000378707
V12,0.00232469,0.00204539,0.00226123,0.00202838,0.00212828,0.0021576
V13,0.000258803,0.000278019,0.000273601,0.000275199,0.00022962,0.000263048
V14,0.0185256,0.0125183,0.0125185,0.0208162,0.0174469,0.0163651
V15,0.00126864,0.001617,0.00128535,0.00136802,0.00116438,0.00134068
V16,0.000239977,0.000301,0.000350571,0.000546756,0.000339274,0.000355515
V17,0.000648138,0.000703789,0.000697576,0.000694911,0.00327856,0.0012046
V18,0.000781646,0.000519006,0.000785626,0.000407509,0.000485634,0.000595884
V19,0.00086461,0.000674663,0.000576467,0.000529909,0.000338946,0.000596919
V20,6.71627e-05,6.82886e-05,7.16119e-05,4.69505e-05,6.23577e-05,6.32743e-05
V21,0.0030614,0.00365716,0.00321969,0.00307103,0.00289651,0.00318116
V22,2.67499e-05,3.58465e-05,3.89441e-05,2.83355e-05,2.00041e-05,2.9976e-05
V23,4.12659e-05,5.61689e-05,6.14363e-05,3.78533e-05,4.0912e-05,4.75273e-05
V24,0.000318663,0.000296013,0.000452864,0.000296518,0.000359714,0.000344754
V25,0.000146181,0.000262965,0.000147729,0.00027084,0.00013828,0.000193199
V26,0.000309717,0.000273379,0.000744033,0.000334487,0.000408646,0.000414052
V27,0.000195841,0.000278705,0.000151581,0.000146626,0.000133448,0.00018124
V28,0.000130085,0.00018617,0.00016834,0.00013816,0.000117079,0.000147967
Amount,0.000204554,0.000195199,0.000189491,0.00032267,9.27128e-05,0.000200925
