feature,client_0,mean
Time,0.0120827,0.0120827
V1,0.0750454,0.0750454
V2,0.0276923,0.0276923
V3,0.0450523,0.0450523
V4,0.135652,0.135652
V5,0.0282686,0.0282686
V6,0.0723691,0.0723691
V7,0.0660919,0.0660919
V8,0.0846115,0.0846115
V9,0.208911,0.208911
V10,0.160211,0.160211
V11,0.175658,0.175658
V12,0.265527,0.265527
V13,0.259572,0.259572
V14,0.278553,0.278553
V15,0.190659,0.190659
V16,0.174393,0.174393
V17,0.0384673,0.0384673
V18,0.0481252,0.0481252
V19,0.0379549,0.0379549
V20,0.0136664,0.0136664
V21,0.0084358,0.0084358
V22,0.0533497,0.0533497
V23,0.0156626,0.0156626
V24,0.0532174,0.0532174
V25,0.024227,0.024227
V26,0.0175526,0.0175526
V27,0.00303495,0.00303495
V28,0.00110168,0.00110168
Amount,0.0014052,0.0014052
