feature,client_0,mean
Time,0.061932,0.061932
V1,0.123955,0.123955
V2,0.128446,0.128446
V3,0.154734,0.154734
V4,0.535902,0.535902
V5,0.142979,0.142979
V6,0.0967697,0.0967697
V7,0.0744214,0.0744214
V8,0.114271,0.114271
V9,0.274518,0.274518
V10,0.229545,0.229545
V11,0.0980208,0.0980208
V12,0.25784,0.25784
V13,0.312968,0.312968
V14,0.413443,0.413443
V15,0.212549,0.212549
V16,0.17056,0.17056
V17,0.0136473,0.0136473
V18,0.033711,0.033711
V19,0.0114743,0.0114743
V20,0.00562139,0.00562139
V21,0.00809513,0.00809513
V22,0.0359773,0.0359773
V23,0.00278472,0.00278472
V24,0.0407447,0.0407447
V25,0.00832444,0.00832444
V26,0.00739103,0.00739103
V27,0.000741513,0.000741513
V28,0.000651967,0.000651967
Amount,0,0
