feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.0745912,0.0698262,0.0704495,0.0701367,0.0782802,0.0726568
V1,0.150935,0.145005,0.156147,0.163073,0.139008,0.150833
V2,0.0323272,0.036634,0.0341121,0.0334863,0.0371249,0.0347369
V3,0.0579171,0.064639,0.0533471,0.0576558,0.0529456,0.0573009
V4,0.252255,0.243825,0.253203,0.237652,0.229035,0.243194
V5,0.101233,0.0827781,0.0794522,0.0830344,0.0803162,0.0853628
V6,0.0461044,0.0442279,0.0512575,0.0444312,0.0400122,0.0452066
V7,0.05776,0.0505233,0.052967,0.0618825,0.055901,0.0558068
V8,0.0844465,0.0751391,0.0926916,0.0894123,0.080628,0.0844635
V9,0.168375,0.180622,0.168274,0.18024,0.174815,0.174465
V10,0.152689,0.157699,0.157896,0.158209,0.156671,0.156633
V11,0.0960153,0.078752,0.0974927,0.0947167,0.091355,0.0916664
V12,0.220841,0.260804,0.231978,0.228429,0.249251,0.238261
V13,0.272793,0.259563,0.260687,0.273439,0.261216,0.26554
V14,0.318507,0.344282,0.364002,0.403114,0.350283,0.356038
V15,0.319643,0.335612,0.32961,0.321844,0.319995,0.325341
V16,0.17733,0.159977,0.183304,0.195413,0.18431,0.180067
V17,0.0572256,0.0461736,0.0563328,0.0483664,0.0607024,0.0537602
V18,0.0391912,0.0315434,0.0438692,0.0400002,0.0431365,0.0395481
V19,0.0344864,0.0326694,0.033998,0.0289786,0.0388538,0.0337972
V20,0.0116349,0.0126413,0.0112315,0.0106733,0.012671,0.0117704
V21,0.00447165,0.00450578,0.00608949,0.00481919,0.00514899,0.00500702
V22,0.0188085,0.0234938,0.0158974,0.0183681,0.0192997,0.0191735
V23,0.00985826,0.010261,0.0089424,0.00975093,0.0093978,0.00964208
V24,0.032363,0.0287971,0.0245036,0.0222252,0.0237757,0.0263329
V25,0.0320829,0.033249,0.0290127,0.0277014,0.0295478,0.0303188
V26,0.0118957,0.0123538,0.0103579,0.0101939,0.0105957,0.0110794
V27,0.0034614,0.00299329,0.00292384,0.00301335,0.0027326,0.0030249
V28,2.44607e-05,8.10803e-05,3.2203e-07,0,8.03393e-05,3.72405e-05
Amount,0.000871335,0.00116517,0.00111813,0.00127341,0.000858613,0.00105733
