feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.372563,0.3229,0.358212,0.327403,0.356724,0.34756
V1,0.226242,0.244795,0.229901,0.229314,0.239055,0.233861
V2,0.247437,0.252846,0.262439,0.264542,0.301033,0.265659
V3,0.357311,0.37464,0.34592,0.341635,0.347936,0.353489
V4,1.06984,1.0315,1.08136,1.02142,1.00625,1.04207
V5,0.138218,0.134238,0.128428,0.157372,0.1527,0.142191
V6,0.208708,0.191258,0.225254,0.296243,0.179606,0.220214
V7,0.0693659,0.0770249,0.0851458,0.073259,0.0752356,0.0760062
V8,0.0921984,0.10165,0.0929743,0.0746164,0.0915857,0.090605
V9,0.317427,0.310474,0.320366,0.307479,0.306326,0.312414
V10,0.221302,0.192005,0.188638,0.217652,0.20081,0.204081
V11,0.232944,0.226861,0.204843,0.234067,0.207488,0.221241
V12,0.319928,0.322758,0.345203,0.323951,0.303696,0.323107
V13,0.378549,0.336523,0.354758,0.348496,0.455782,0.374822
V14,0.644007,0.61928,0.651165,0.613703,0.616154,0.628862
V15,0.373522,0.368646,0.369638,0.356152,0.400755,0.373743
V16,0.200489,0.210168,0.205169,0.212829,0.190969,0.203925
V17,0.0947393,0.136199,0.0937673,0.100362,0.0838916,0.101792
V18,0.164638,0.140761,0.156478,0.158694,0.156265,0.155367
V19,0.158856,0.13872,0.143035,0.157759,0.158033,0.151281
V20,0.0150721,0.0119516,0.0126039,0.0128056,0.0149606,0.0134788
V21,0.0246742,0.0270183,0.0258918,0.026187,0.0254935,0.025853
V22,0.0972434,0.0901225,0.109169,0.0897251,0.0871587,0.0946837
V23,0.0182652,0.0190941,0.0233104,0.0198639,0.0174744,0.0196016
V24,0.0601425,0.0605178,0.0598336,0.0529334,0.0583761,0.0583607
V25,0.0110509,0.015233,0.0123376,0.0140293,0.0128851,0.0131072
V26,0.017124,0.0150707,0.014798,0.0181688,0.0163735,0.016307
V27,0.000959075,0.00095867,0.00127928,0.00171798,0.00131641,0.00124628
V28,0.00548418,0.00555221,0.00532439,0.00524214,0.00509151,0.00533889
Amount,0.0395511,0.0421793,0.0400042,0.0358051,0.0375674,0.0390214
