feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.00342957,0.00257218,0.00245433,0.00181858,0.00195184,0.0024453
V1,0.0147193,0.0161549,0.0134649,0.0161926,0.0150798,0.0151223
V2,0.0279062,0.028984,0.0351408,0.0311997,0.0311607,0.0308783
V3,0.0486013,0.0463758,0.0469091,0.0479987,0.0472746,0.0474319
V4,0.112686,0.12895,0.122337,0.114338,0.126703,0.121003
V5,0.0372033,0.0413422,0.0382438,0.0358134,0.0359735,0.0377152
V6,0.0495642,0.0529309,0.0527375,0.0506608,0.0502098,0.0512207
V7,0.0394204,0.0444825,0.0457751,0.0405636,0.0458333,0.043215
V8,0.0807326,0.0765596,0.0671701,0.067295,0.0713643,0.0726243
V9,0.154142,0.170279,0.167784,0.17146,0.183914,0.169516
V10,0.164926,0.162647,0.17141,0.155963,0.152375,0.161464
V11,0.173075,0.172419,0.165315,0.170614,0.182795,0.172844
V12,0.22549,0.220994,0.211294,0.213005,0.223988,0.218954
V13,0.17037,0.173791,0.18211,0.167359,0.169456,0.172617
V14,0.240103,0.241612,0.237813,0.267807,0.249311,0.247329
V15,0.207735,0.19458,0.202982,0.211295,0.213122,0.205943
V16,0.157192,0.175072,0.156976,0.170129,0.156752,0.163224
V17,0.0800487,0.0810916,0.0930227,0.0897943,0.0693994,0.0826713
V18,0.0647411,0.061246,0.0598554,0.0644493,0.0643286,0.0629241
V19,0.0621415,0.059773,0.067209,0.0533337,0.0602352,0.0605385
V20,0.0173731,0.0166827,0.0176097,0.0163857,0.0161161,0.0168335
V21,0.00226812,0.00172338,0.00132566,0.00160015,0.00110963,0.00160539
V22,0.0558532,0.050488,0.0503473,0.0504626,0.0457687,0.050584
V23,0.0181484,0.0183707,0.0164878,0.0180581,0.0173093,0.0176749
V24,0.067412,0.0523861,0.0553539,0.0589111,0.0523809,0.0572888
V25,0.0653696,0.0580702,0.0562418,0.0635104,0.0597888,0.0605962
V26,0.0390349,0.0354546,0.0340487,0.0337111,0.036049,0.0356597
V27,0.00801081,0.00708483,0.00728062,0.00716936,0.0075321,0.00741555
V28,0.00119452,0.00116892,0.00115383,0.00134982,0.00115194,0.00120381
Amount,0.0132654,0.0122301,0.0122673,0.0131471,0.0130468,0.0127913
