feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.108664,0.117632,0.0995771,0.113536,0.104694,0.108821
V1,0.0953109,0.0897294,0.100397,0.0875581,0.0907514,0.0927494
V2,0.029195,0.028028,0.0294859,0.0305257,0.0306865,0.0295842
V3,0.122019,0.108119,0.108691,0.119184,0.105295,0.112662
V4,0.610974,0.628089,0.60131,0.590188,0.585725,0.603257
V5,0.0651049,0.0761188,0.0750815,0.0753949,0.0663222,0.0716045
V6,0.0905491,0.11231,0.0822812,0.079257,0.0886065,0.0906007
V7,0.0695055,0.0760165,0.0759734,0.085797,0.0788555,0.0772296
V8,0.143287,0.142126,0.148355,0.154273,0.151414,0.147891
V9,0.170203,0.177734,0.159364,0.163759,0.159148,0.166042
V10,0.255394,0.271392,0.259158,0.251619,0.242887,0.25609
V11,0.0339042,0.0336719,0.0463186,0.0278736,0.0288621,0.0341261
V12,0.312384,0.277208,0.292594,0.306498,0.292117,0.29616
V13,0.247215,0.245831,0.240963,0.24753,0.261077,0.248523
V14,0.422887,0.401949,0.410206,0.464065,0.435968,0.427015
V15,0.238529,0.220483,0.25253,0.248845,0.245181,0.241114
V16,0.171923,0.167971,0.179361,0.175529,0.181234,0.175203
V17,0.0351558,0.0413901,0.0385677,0.0326444,0.0480734,0.0391663
V18,0.052774,0.0565547,0.0497749,0.0644093,0.0612867,0.0569599
V19,0.0439363,0.0415467,0.0508914,0.046487,0.0420239,0.0449771
V20,0.014211,0.0136738,0.0144833,0.0135102,0.016536,0.0144829
V21,0.00623654,0.00789344,0.00714404,0.00615034,0.00648495,0.00678186
V22,0.0425276,0.0422006,0.032776,0.0256597,0.0353625,0.0357053
V23,0.00790796,0.00866808,0.00794488,0.00763025,0.00919326,0.00826889
V24,0.0561293,0.0556664,0.0420345,0.0401525,0.0448038,0.0477573
V25,0.0138286,0.0144454,0.0125115,0.0103189,0.0126271,0.0127463
V26,0.00882045,0.00992089,0.00667906,0.00661837,0.0073326,0.00787427
V27,0.00086029,0.000691776,0.000537188,0.000366751,0.000545016,0.000600204
V28,0,7.51684e-05,0.000107628,8.9914e-05,0.00011479,7.75e-05
Amount,0.00446928,0.00452864,0.00410459,0.00430842,0.00394501,0.00427119
