feature,client_0,mean
Time,0.000812768,0.000812768
V1,0.00786716,0.00786716
V2,0,0
V3,0,0
V4,0.103863,0.103863
V5,0,0
V6,0,0
V7,0.0187711,0.0187711
V8,0,0
V9,0,0
V10,0.150427,0.150427
V11,0,0
V12,0.0666108,0.0666108
V13,0,0
V14,0.202437,0.202437
V15,0,0
V16,0.0010537,0.0010537
V17,0.0776535,0.0776535
V18,0,0
V19,0.00061993,0.00061993
V20,0,0
V21,0.00121433,0.00121433
V22,0,0
V23,0.000541845,0.000541845
V24,0,0
V25,0.000404843,0.000404843
V26,0.0324522,0.0324522
V27,0.0116951,0.0116951
V28,0.00363205,0.00363205
Amount,0.00277373,0.00277373
