feature,client_0,mean
Time,0.175489,0.175489
V1,0.0732326,0.0732326
V2,0.0192415,0.0192415
V3,0.0900481,0.0900481
V4,1.2345,1.2345
V5,0.0592832,0.0592832
V6,0.0614796,0.0614796
V7,0.0416895,0.0416895
V8,0.12715,0.12715
V9,0.0871804,0.0871804
V10,0.0458876,0.0458876
V11,0.172457,0.172457
V12,0.205044,0.205044
V13,0.0828319,0.0828319
V14,0.449592,0.449592
V15,0.10488,0.10488
V16,0.0698599,0.0698599
V17,0.063669,0.063669
V18,0.201382,0.201382
V19,0.0286622,0.0286622
V20,0.0235679,0.0235679
V21,0.0724245,0.0724245
V22,0.0612457,0.0612457
V23,0.0511233,0.0511233
V24,0.132301,0.132301
V25,0.0692936,0.0692936
V26,0.0993606,0.0993606
V27,0.0873246,0.0873246
V28,0.0762217,0.0762217
Amount,0.0273359,0.0273359
