feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0,0,0,0,0,0
V1,0,0,0,0,0.00191359,0.000382718
V2,0,0,0,0,0,0
V3,0,0,0,0.000224166,0.0100643,0.00205768
V4,0.00664199,0.00452713,0.00746642,0.00821791,0.00453988,0.00627866
V5,0,0,0,0,0,0
V6,0,0,0,0,0,0
V7,0.0156616,0.0143661,0.0119227,0.0640924,0.370025,0.0952136
V8,0,0,0,0,0,0
V9,0,0,0,0,0,0
V10,0.00258587,0.00330173,0.000861956,0.00617207,0.0842546,0.0194352
V11,0.000997242,0.00131858,0.00162883,0.00188368,0.00132966,0.0014316
V12,0.00233388,0.00494532,0.00775906,0.00232899,0.00238568,0.00395058
V13,0.000470748,6.72497e-05,0.000123291,3.36249e-05,3.36249e-05,0.000145708
V14,0.0255773,0.0271177,0.0236249,0.0890122,0.524637,0.137994
V15,0.00443522,0.00577354,0.00351382,0.0105583,0.00647884,0.00615194
V16,0,0,0,0,0,0
V17,0.00154629,0.00208234,0.000437538,0.00431228,0.0548177,0.0126392
V18,0,0,0,0,0,0
V19,0.00350811,0.00623734,0.00972327,0.00356043,0.00357558,0.00532094
V20,0,0,0,0,0,0
V21,0,0,0,0,0,0
V22,0.00214951,0.000418689,0.00141259,0.00023358,0.000397415,0.000922357
V23,0.000909901,0.000302276,0.00105484,0.00123986,0.000950955,0.000891565
V24,0,0,0,0,0,0
V25,0,0,0,0,0,0
V26,0.00165437,0.00241425,0.000744477,0.00156922,0.0680611,0.0148887
V27,0,0,0,0,0,0
V28,0,0,0,0,0,0
Amount,0,0,0,0,0,0
