feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.184253,0.166118,0.176881,0.175845,0.181744,0.176968
V1,0.126185,0.104943,0.12008,0.127788,0.115162,0.118832
V2,0.0263434,0.0323455,0.0239681,0.0249883,0.0286301,0.0272551
V3,0.285119,0.288107,0.267435,0.262857,0.278238,0.276351
V4,1.20057,1.13533,1.16615,1.1763,1.12685,1.16104
V5,0.214856,0.218356,0.202818,0.212803,0.202153,0.210197
V6,0.0998749,0.0856834,0.0960791,0.100566,0.0939725,0.0952352
V7,0.0206453,0.0310905,0.0309721,0.0221,0.0269515,0.0263519
V8,0.0600171,0.0545586,0.0499363,0.0539454,0.0581652,0.0553245
V9,0.019212,0.0179672,0.0161911,0.0169464,0.0169554,0.0174544
V10,0.115801,0.140298,0.126231,0.104267,0.118528,0.121025
V11,0.217691,0.193307,0.198265,0.199197,0.200366,0.201765
V12,0.205584,0.253652,0.210199,0.204882,0.210443,0.216952
V13,0.116562,0.115196,0.109446,0.111047,0.127242,0.115899
V14,0.332564,0.359507,0.343707,0.369869,0.349392,0.351008
V15,0.170401,0.180011,0.185417,0.17203,0.220267,0.185625
V16,0.0935987,0.0895359,0.088289,0.0991259,0.0855216,0.0912142
V17,0.0493741,0.0519254,0.0506333,0.0528072,0.0450755,0.0499631
V18,0.0466062,0.0526692,0.0586139,0.0510724,0.0580064,0.0533936
V19,0.0355278,0.0397827,0.0385235,0.036678,0.0413969,0.0383818
V20,0.0353668,0.0356461,0.0327423,0.0289661,0.0380681,0.0341579
V21,0.0805177,0.0889884,0.0853941,0.08863,0.0870555,0.0861172
V22,0.123863,0.114408,0.120063,0.122034,0.11125,0.118324
V23,0.0186816,0.0192488,0.0184749,0.0210363,0.0185688,0.0192021
V24,0.244275,0.235009,0.26571,0.253728,0.26524,0.252792
V25,0.0494473,0.0480852,0.049981,0.0545485,0.0482495,0.0500623
V26,0.04389,0.0468043,0.0456024,0.0482424,0.0466122,0.0462303
V27,0.167359,0.175432,0.160993,0.169405,0.165239,0.167685
V28,0.241314,0.194591,0.224574,0.255661,0.22134,0.227496
Amount,0.0586218,0.0562526,0.0681998,0.0702271,0.0580777,0.0622758
