feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.00104111,0.00105642,0.000750211,0.000979867,0.00829059,0.00242364
V1,0.0104704,0.0102085,0.0030639,0.00410482,0.00394171,0.00635786
V2,0,0,0,0,0,0
V3,0,0,0,0,0,0
V4,0.0137334,0.0137334,0.0137794,0.0136875,0.0136875,0.0137243
V5,0,0,0,0,0,0
V6,0.00343238,0.00134708,0.00368756,0.00363652,0.00112632,0.00264597
V7,0.000912063,0.000804037,0.000746156,0.00128629,0.000576141,0.000864937
V8,0,0,0,0,0,0
V9,0.00501068,0.00300641,0.00400855,0.00250534,0.00250534,0.00340726
V10,0.000842073,0.000853556,4.59313e-05,0.00165353,0.00155401,0.000989819
V11,0,0,0,0,0,0
V12,0,0,0,0,0,0
V13,0.00225639,0.00200636,0.00162498,0.00193562,0.00739816,0.0030443
V14,0.0149459,0.0161933,0.0135846,0.0161725,0.0157853,0.0153363
V15,0,0,0,0,0,0
V16,0,0,0,0,0,0
V17,0.0221876,0.0190233,0.0120422,0.0128602,0.0166581,0.0165543
V18,0,0,0,0,0,0
V19,0.00338253,0.00141829,0.00366619,0.00341933,0.00119872,0.00261701
V20,0,0,0,0,0,0
V21,0,0,0,0,0,0
V22,0,0,0,0,0,0
V23,0,0,0,0,0,0
V24,0,0,0,0,0,0
V25,0,0,0,0,0,0
V26,0.00012011,0.000187553,4.35575e-05,0.000211972,0.000168415,0.000146321
V27,0,0,0,0,0,0
V28,0,0,0,0,0,0
Amount,0,0,0,0,0,0
