feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.00975921,0.00863079,0.00719679,0.00842243,0.00872143,0.00854613
V1,0.0357078,0.0395099,0.0379202,0.0356757,0.0350121,0.0367651
V2,0.00990012,0.00828563,0.00615813,0.00714199,0.00664504,0.00762618
V3,0.0594413,0.0569972,0.0565842,0.0587135,0.0560265,0.0575525
V4,0.396152,0.341052,0.294865,0.349854,0.348058,0.345996
V5,0.0396446,0.0310709,0.0241938,0.0314179,0.0269376,0.030653
V6,0.0634466,0.0552352,0.050749,0.0554103,0.0556384,0.0560959
V7,0.0211215,0.0215994,0.0152811,0.0212718,0.0247503,0.0208048
V8,0.00240704,0.0018231,0.00362648,0.00191641,0.00158743,0.00227209
V9,0.0826187,0.0764802,0.0648622,0.0709589,0.0672147,0.0724269
V10,0.0567275,0.0551153,0.0461677,0.0577932,0.0724834,0.0576574
V11,0.0806218,0.0660801,0.0548757,0.0732069,0.0703088,0.0690187
V12,0.505091,0.442257,0.394435,0.436303,0.464601,0.448537
V13,0.0808209,0.0798172,0.0747606,0.0785424,0.0726681,0.0773218
V14,0.43321,0.396191,0.341814,0.401222,0.446863,0.40386
V15,0.0257406,0.0217666,0.0194135,0.0307603,0.0240857,0.0243533
V16,0.0271358,0.028183,0.0204042,0.0254904,0.0284296,0.0259286
V17,0.036776,0.0366101,0.0283047,0.035577,0.138352,0.055124
V18,0.0301034,0.0263532,0.0246505,0.0361263,0.0290917,0.029265
V19,0.0227924,0.0219652,0.0178067,0.0238789,0.0165737,0.0206034
V20,0.00674331,0.00570691,0.00499678,0.00734638,0.00548461,0.0060556
V21,0.0517994,0.0472983,0.0421587,0.04893,0.0476067,0.0475586
V22,0.0339691,0.0305806,0.025744,0.0310995,0.0283453,0.0299477
V23,0.0200681,0.0202833,0.0150759,0.0175945,0.0148583,0.017576
V24,0.113195,0.110525,0.0995395,0.120962,0.11051,0.110946
V25,0.0470496,0.0459794,0.0432988,0.0496051,0.0480711,0.0468008
V26,0.0471723,0.035036,0.0310585,0.0422258,0.0267589,0.0364503
V27,0.0242425,0.0202866,0.0205857,0.0211277,0.0206913,0.0213868
V28,0.00851255,0.0081918,0.0067072,0.0108112,0.00873151,0.00859086
Amount,0.0196403,0.0154611,0.0128588,0.0169558,0.0142626,0.0158357
