feature,client_0,mean
Time,0.0118789,0.0118789
V1,0.0536973,0.0536973
V2,0.0186942,0.0186942
V3,0.0387794,0.0387794
V4,0.848434,0.848434
V5,0.0821459,0.0821459
V6,0.0684066,0.0684066
V7,0.00611584,0.00611584
V8,0.0756534,0.0756534
V9,0.128491,0.128491
V10,0.525987,0.525987
V11,0.050373,0.050373
V12,0.181518,0.181518
V13,0.45166,0.45166
V14,0.466761,0.466761
V15,0.0733608,0.0733608
V16,0.267504,0.267504
V17,0.00533147,0.00533147
V18,0.00692639,0.00692639
V19,0.000639957,0.000639957
V20,0.110112,0.110112
V21,0.111218,0.111218
V22,0.324592,0.324592
V23,0.0396911,0.0396911
V24,0.0336196,0.0336196
V25,0.00562069,0.00562069
V26,0.0450888,0.0450888
V27,0.0915668,0.0915668
V28,0.0111218,0.0111218
Amount,0.0310439,0.0310439
