feature,client_0,mean
Time,0.281234,0.281234
V1,0.251835,0.251835
V2,0.0773093,0.0773093
V3,0.0393004,0.0393004
V4,1.12667,1.12667
V5,0.147806,0.147806
V6,0.104091,0.104091
V7,0.0279801,0.0279801
V8,0.0959377,0.0959377
V9,0.0156198,0.0156198
V10,0.5534,0.5534
V11,0.0879216,0.0879216
V12,0.00272138,0.00272138
V13,0.348161,0.348161
V14,0.423372,0.423372
V15,0.0290099,0.0290099
V16,0.279739,0.279739
V17,0.0655337,0.0655337
V18,0.0660844,0.0660844
V19,0.0464126,0.0464126
V20,0.109386,0.109386
V21,0.0885679,0.0885679
V22,0.225763,0.225763
V23,0.0292931,0.0292931
V24,0.0740621,0.0740621
V25,0.0106013,0.0106013
V26,0.00916433,0.00916433
V27,0.0630784,0.0630784
V28,0.00240877,0.00240877
Amount,0.0515787,0.0515787
