feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.0599,0.0597868,0.0607176,0.060585,0.0599211,0.0601821
V1,0.135427,0.13499,0.13277,0.134108,0.133518,0.134162
V2,0.0425472,0.0429592,0.044924,0.0423685,0.0423914,0.0430381
V3,0.0181828,0.0187392,0.0182517,0.0182051,0.0182677,0.0183293
V4,0.824923,0.824035,0.823643,0.824539,0.823678,0.824164
V5,0.0734256,0.073065,0.0734036,0.0709688,0.0710901,0.0723906
V6,0.0429451,0.0429562,0.0425999,0.0410129,0.0423717,0.0423771
V7,0.0377995,0.0376769,0.0379082,0.0377443,0.0376808,0.0377619
V8,0.0716993,0.0711635,0.0750157,0.0765823,0.0705882,0.0730098
V9,0.21619,0.221761,0.217783,0.226345,0.216327,0.219681
V10,0.476781,0.476663,0.487136,0.478076,0.488589,0.481449
V11,0.039454,0.0395932,0.0394535,0.0396914,0.039518,0.039542
V12,0.187178,0.193995,0.187952,0.185963,0.188414,0.1887
V13,0.382655,0.384987,0.384885,0.38542,0.387413,0.385072
V14,0.485723,0.498817,0.493741,0.518663,0.503143,0.500017
V15,0.019546,0.0195237,0.0198812,0.0196585,0.0196559,0.0196531
V16,0.220245,0.220963,0.220074,0.219637,0.22312,0.220808
V17,0.0403613,0.0418344,0.0403449,0.0398743,0.0400907,0.0405011
V18,0.000465039,0.000460339,0.000459696,0.000478461,0.000462794,0.000465266
V19,0.0186503,0.0190213,0.018885,0.0189803,0.0188178,0.0188709
V20,0.130581,0.137819,0.134555,0.134955,0.132726,0.134127
V21,0.111184,0.11092,0.112414,0.124656,0.118058,0.115446
V22,0.375032,0.377133,0.392144,0.378176,0.375291,0.379555
V23,0.0329207,0.0327344,0.0326381,0.0327337,0.0329958,0.0328046
V24,0.082611,0.0826044,0.0835688,0.0898402,0.0830583,0.0843365
V25,0.0227668,0.0226619,0.0229774,0.0227037,0.0228485,0.0227917
V26,0.0502971,0.0505574,0.0501762,0.050571,0.0516326,0.0506469
V27,0.133725,0.139535,0.135494,0.139628,0.136073,0.136891
V28,0.0315464,0.0336887,0.0321661,0.0318794,0.0318669,0.0322295
Amount,0.0565627,0.0526947,0.0524959,0.0646949,0.0565052,0.0565907
