feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.267341,0.262973,0.265142,0.26546,0.264343,0.265052
V1,0.277775,0.27896,0.277564,0.276668,0.277143,0.277622
V2,0.106396,0.105819,0.104377,0.104523,0.105962,0.105415
V3,0.0165856,0.0167018,0.0165828,0.0169166,0.0165556,0.0166685
V4,1.13133,1.14634,1.12774,1.13053,1.13527,1.13424
V5,0.188213,0.187309,0.185441,0.182979,0.186152,0.186019
V6,0.0927364,0.0927956,0.0932042,0.102314,0.0963847,0.0954871
V7,0.00586899,0.00628123,0.00586745,0.00586698,0.00586625,0.00595018
V8,0.0957265,0.0941244,0.0965398,0.0941378,0.0944618,0.0949981
V9,0.00557446,0.00552449,0.00549953,0.00570072,0.00550574,0.00556099
V10,0.697042,0.736702,0.704707,0.73196,0.692804,0.712643
V11,0.0660646,0.065554,0.0651681,0.0651408,0.0651547,0.0654164
V12,0.096479,0.0994572,0.0919684,0.091505,0.0968129,0.0952445
V13,0.388692,0.390046,0.388252,0.389552,0.390063,0.389321
V14,0.508601,0.475633,0.458248,0.471258,0.479931,0.478734
V15,0.0154834,0.0155191,0.0155259,0.0154961,0.0154801,0.0155009
V16,0.270992,0.285708,0.269417,0.269313,0.275549,0.274196
V17,0.109667,0.112319,0.111214,0.108351,0.112544,0.110819
V18,0.022246,0.0227051,0.0224866,0.0222377,0.0223447,0.022404
V19,0.0790302,0.0798668,0.0788143,0.0787791,0.0789099,0.0790801
V20,0.186589,0.160846,0.180563,0.168063,0.164885,0.172189
V21,0.107308,0.137157,0.10845,0.103504,0.110884,0.11346
V22,0.341746,0.34523,0.339831,0.345715,0.340742,0.342653
V23,0.0138343,0.0130727,0.013228,0.0146078,0.0128949,0.0135275
V24,0.117696,0.120982,0.116826,0.116108,0.117429,0.117808
V25,0.0121929,0.0121881,0.0122364,0.0122238,0.012363,0.0122408
V26,0.0345046,0.0336474,0.0349771,0.034049,0.0364106,0.0347177
V27,0.119953,0.135099,0.118372,0.134118,0.119855,0.125479
V28,0.0217853,0.02186,0.0218455,0.0217736,0.0230394,0.0220608
Amount,0.0754591,0.0700914,0.066661,0.0848859,0.0901756,0.0774546
