feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.195386,0.198995,0.198272,0.198904,0.196809,0.197673
V1,0.212558,0.211217,0.214441,0.21018,0.210212,0.211722
V2,0.0291428,0.0285878,0.0298225,0.02909,0.0292291,0.0291744
V3,0.0556467,0.0551355,0.0553262,0.0551669,0.0554691,0.0553489
V4,0.797399,0.799911,0.797396,0.797865,0.797929,0.7981
V5,0.10464,0.112521,0.104936,0.107235,0.105279,0.106922
V6,0.0875851,0.0866586,0.0858198,0.0895732,0.0869632,0.08732
V7,0.0387589,0.0394858,0.0389322,0.0387269,0.0386692,0.0389146
V8,0.0620253,0.0635349,0.0608417,0.0620298,0.0614554,0.0619774
V9,0.202843,0.198734,0.199861,0.204116,0.204376,0.201986
V10,0.498914,0.498696,0.498411,0.498607,0.498461,0.498618
V11,0.080139,0.0799692,0.0805752,0.0802559,0.0803847,0.0802648
V12,0.194519,0.195619,0.205327,0.193276,0.195139,0.196776
V13,0.379479,0.379521,0.384694,0.38888,0.379413,0.382397
V14,0.455951,0.456213,0.456015,0.465173,0.459657,0.458602
V15,0.0439231,0.043894,0.043905,0.0439177,0.0442576,0.0439795
V16,0.227648,0.221936,0.224152,0.224405,0.221254,0.223879
V17,0.0618471,0.0597131,0.0621773,0.0600581,0.060996,0.0609583
V18,0.0591991,0.0591357,0.0592862,0.0595163,0.0591838,0.0592642
V19,0.00248123,0.00255654,0.00248135,0.0024818,0.00248118,0.00249642
V20,0.126524,0.129704,0.12645,0.131086,0.12099,0.126951
V21,0.104171,0.104103,0.107374,0.105571,0.104254,0.105095
V22,0.267249,0.267282,0.26861,0.266678,0.269423,0.267848
V23,0.0329628,0.0322749,0.0319841,0.0319459,0.0325927,0.0323521
V24,0.0359969,0.0354803,0.0355274,0.0365638,0.0355185,0.0358174
V25,0.0380864,0.0387428,0.0378975,0.0381128,0.0384209,0.0382521
V26,0.0742547,0.0756422,0.0763311,0.0772892,0.0751905,0.0757416
V27,0.150413,0.143165,0.14304,0.155396,0.144539,0.147311
V28,0.0204109,0.0206543,0.0217786,0.0209512,0.0204631,0.0208516
Amount,0.063166,0.0584144,0.0650431,0.0547811,0.0514192,0.0585648
