feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.328002,0.326299,0.324798,0.330469,0.328205,0.327555
V1,0.45031,0.457345,0.450391,0.44747,0.448257,0.450755
V2,0.0284158,0.0277737,0.0282763,0.0280324,0.0293869,0.028377
V3,0.0239583,0.0240158,0.0235381,0.02351,0.0236301,0.0237305
V4,1.04673,1.0907,1.04654,1.047,1.04921,1.05604
V5,0.110409,0.107223,0.107578,0.109308,0.108586,0.108621
V6,0.144668,0.144133,0.142524,0.146236,0.152012,0.145914
V7,0.0309362,0.0303456,0.0302005,0.0303742,0.0306496,0.0305012
V8,0.0826675,0.0864502,0.082792,0.0826344,0.0831642,0.0835417
V9,0.211573,0.21522,0.211535,0.213629,0.212478,0.212887
V10,0.744489,0.770029,0.744146,0.744359,0.751928,0.75099
V11,0.00727796,0.00728288,0.00728392,0.00728946,0.00728131,0.00728311
V12,0.141369,0.134928,0.129912,0.134684,0.132507,0.13468
V13,0.464999,0.458409,0.459124,0.460833,0.459331,0.460539
V14,0.549918,0.557888,0.549737,0.576866,0.589882,0.564858
V15,0.0472673,0.0477061,0.0471234,0.047053,0.047409,0.0473118
V16,0.238267,0.233611,0.235204,0.23359,0.236217,0.235378
V17,0.0693683,0.0712209,0.0674397,0.0699962,0.0674745,0.0690999
V18,0.00192613,0.00192038,0.00192064,0.00191981,0.00192141,0.00192167
V19,0.0363312,0.0362489,0.0368106,0.0361587,0.0362788,0.0363657
V20,0.139247,0.145976,0.156465,0.137647,0.149619,0.145791
V21,0.111244,0.136709,0.108581,0.110126,0.108572,0.115046
V22,0.205619,0.205558,0.20658,0.205809,0.204758,0.205665
V23,0.0293785,0.0290079,0.0290079,0.0290166,0.0294589,0.029174
V24,0.175125,0.174619,0.173971,0.176912,0.17811,0.175747
V25,0.0183589,0.0184328,0.0184012,0.0185247,0.0183926,0.0184221
V26,0.0163509,0.0160045,0.0157313,0.0159726,0.0156452,0.0159409
V27,0.150389,0.165978,0.150109,0.151114,0.15165,0.153848
V28,0.000237679,0.000227068,0.00022731,0.000232345,0.000234416,0.000231764
Amount,0.029399,0.0374863,0.0341241,0.0279271,0.0331668,0.0324207
