feature,client_0,mean
Time,0.0122413,0.0122413
V1,0.0370498,0.0370498
V2,0.0054514,0.0054514
V3,0.000130206,0.000130206
V4,0.0776201,0.0776201
V5,0.0145822,0.0145822
V6,0.00186102,0.00186102
V7,0.011019,0.011019
V8,0.00484715,0.00484715
V9,0.04051,0.04051
V10,0.0821726,0.0821726
V11,0.00596352,0.00596352
V12,0.0166633,0.0166633
V13,0.032993,0.032993
V14,0.0398146,0.0398146
V15,0.00529871,0.00529871
V16,0.0370393,0.0370393
V17,0.0309391,0.0309391
V18,0.0139858,0.0139858
V19,0.00280902,0.00280902
V20,0.0250687,0.0250687
V21,0.00776563,0.00776563
V22,0.0106993,0.0106993
V23,8.7513e-05,8.7513e-05
V24,0.00450108,0.00450108
V25,0.0135304,0.0135304
V26,0.0183415,0.0183415
V27,0.0182544,0.0182544
V28,0.00403496,0.00403496
Amount,0.00919585,0.00919585
