feature,client_0,mean
Time,0.0221339,0.0221339
V1,0.0604903,0.0604903
V2,0.0220963,0.0220963
V3,0.00644859,0.00644859
V4,0.0819614,0.0819614
V5,0.00588267,0.00588267
V6,0.0063659,0.0063659
V7,0.026083,0.026083
V8,0.00944151,0.00944151
V9,0.0679301,0.0679301
V10,0.0889392,0.0889392
V11,0.0142471,0.0142471
V12,0.0338066,0.0338066
V13,0.0207873,0.0207873
V14,0.0560969,0.0560969
V15,0.00797142,0.00797142
V16,0.0288824,0.0288824
V17,0.025897,0.025897
V18,0.00689403,0.00689403
V19,0.00760507,0.00760507
V20,0.0262686,0.0262686
V21,0.0111837,0.0111837
V22,0.0129244,0.0129244
V23,0.0010914,0.0010914
V24,0.00288738,0.00288738
V25,0.0105203,0.0105203
V26,0.00210056,0.00210056
V27,0.0216729,0.0216729
V28,0.00346371,0.00346371
Amount,0.00990908,0.00990908
