feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.469642,0.468754,0.476052,0.475012,0.469807,0.471853
V1,1.08548,1.08198,1.06418,1.07491,1.07018,1.07535
V2,1.74056,1.75741,1.83779,1.73325,1.73418,1.76064
V3,2.1884,2.25537,2.1967,2.1911,2.19862,2.20604
V4,8.98009,8.97043,8.96616,8.97591,8.96654,8.97183
V5,1.79043,1.78163,1.78989,1.73052,1.73348,1.76519
V6,0.608227,0.608384,0.603337,0.580861,0.600106,0.600183
V7,0.159961,0.159443,0.160421,0.159728,0.159459,0.159802
V8,1.15783,1.14918,1.21138,1.23668,1.13989,1.17899
V9,1.82562,1.87266,1.83907,1.91137,1.82678,1.8551
V10,3.05173,3.05097,3.11801,3.06001,3.12731,3.08161
V11,2.01452,2.02163,2.0145,2.02664,2.01779,2.01902
V12,2.5756,2.6694,2.58625,2.55888,2.59261,2.59655
V13,1.71863,1.7291,1.72864,1.73105,1.74,1.72948
V14,6.21513,6.38268,6.31773,6.63662,6.43803,6.39804
V15,0.435607,0.435111,0.443077,0.438114,0.438057,0.437993
V16,1.74213,1.74781,1.74078,1.73732,1.76487,1.74658
V17,0.666108,0.690418,0.665836,0.65807,0.661641,0.668414
V18,0.0702476,0.0695376,0.0694405,0.0722751,0.0699085,0.0702819
V19,0.0384591,0.0392242,0.0389432,0.0391397,0.0388046,0.0389142
V20,0.510842,0.539159,0.526392,0.527954,0.519235,0.524716
V21,0.688546,0.686913,0.696165,0.771977,0.73112,0.714944
V22,0.489278,0.492018,0.511602,0.493379,0.489616,0.495179
V23,0.158404,0.157507,0.157044,0.157504,0.158765,0.157845
V24,0.0312463,0.0312438,0.0316086,0.0339806,0.0314155,0.031899
V25,0.104517,0.104036,0.105484,0.104227,0.104893,0.104632
V26,0.105085,0.105629,0.104832,0.105657,0.107875,0.105816
V27,0.085289,0.0889947,0.0864173,0.0890543,0.0867866,0.0873084
V28,0.0223155,0.0238309,0.0227539,0.0225511,0.0225423,0.0227987
Amount,0.0188465,0.0175577,0.0174915,0.0215561,0.0188274,0.0188558
