feature,client_0,client_1,client_2,client_3,client_4,mean
Time,1.64184,1.61502,1.62834,1.63029,1.62343,1.62778
V1,1.78341,1.79102,1.78206,1.77631,1.77936,1.78243
V2,3.05359,3.03703,2.99564,2.99985,3.04115,3.02545
V3,0.734147,0.739292,0.734023,0.7488,0.732818,0.737816
V4,16.3991,16.6167,16.3471,16.3875,16.4563,16.4414
V5,1.78502,1.77644,1.75873,1.73537,1.76547,1.76421
V6,1.2357,1.23649,1.24193,1.36333,1.28431,1.27235
V7,0.295799,0.316576,0.295721,0.295698,0.295661,0.299891
V8,1.49231,1.46734,1.50499,1.46755,1.4726,1.48096
V9,0.0129196,0.0128038,0.0127459,0.0132122,0.0127603,0.0128884
V10,5.00468,5.28943,5.05971,5.25538,4.97425,5.11669
V11,2.51522,2.49579,2.48109,2.48005,2.48058,2.49055
V12,1.39062,1.43355,1.32561,1.31893,1.39544,1.37283
V13,3.9085,3.92212,3.90408,3.91715,3.92229,3.91483
V14,8.25499,7.71989,7.43773,7.64888,7.78965,7.77023
V15,0.86199,0.863975,0.864355,0.862697,0.861803,0.862964
V16,2.65615,2.80038,2.6407,2.63969,2.70081,2.68755
V17,0.52774,0.540504,0.535183,0.521408,0.541586,0.533284
V18,0.274923,0.280596,0.277896,0.27482,0.276142,0.276875
V19,1.09408,1.10567,1.0911,1.09061,1.09242,1.09477
V20,0.530576,0.457375,0.513441,0.477896,0.468861,0.48963
V21,0.939606,1.20097,0.949601,0.906294,0.970913,0.993477
V22,1.58832,1.60451,1.57942,1.60676,1.58365,1.59253
V23,0.334098,0.315707,0.319458,0.352779,0.311412,0.326691
V24,0.44996,0.46252,0.446634,0.443887,0.448939,0.450388
V25,0.091594,0.0915581,0.0919212,0.0918262,0.0928719,0.0919543
V26,0.231111,0.225369,0.234275,0.228059,0.243877,0.232538
V27,0.250148,0.281733,0.246852,0.279689,0.249944,0.261673
V28,0.0838394,0.084127,0.0840709,0.0837945,0.0886657,0.0848995
Amount,0.0139543,0.0129617,0.0123273,0.0156976,0.0166758,0.0143233
