feature,client_0,client_1,client_2,client_3,client_4,mean
Time,0.318808,0.324696,0.323516,0.324549,0.32113,0.32254
V1,0.278604,0.276848,0.281073,0.275488,0.27553,0.277508
V2,2.22276,2.18043,2.2746,2.21874,2.22934,2.22518
V3,3.27748,3.24737,3.2586,3.24922,3.26702,3.25994
V4,9.55691,9.58701,9.55686,9.56248,9.56325,9.5653
V5,0.900217,0.96802,0.902764,0.922548,0.905721,0.919854
V6,0.263164,0.26038,0.257859,0.269137,0.261295,0.262367
V7,0.36151,0.36829,0.363126,0.361211,0.360673,0.362962
V8,0.958878,0.982216,0.940581,0.958947,0.950068,0.958138
V9,1.95091,1.91138,1.92222,1.96315,1.96565,1.94266
V10,2.92808,2.9268,2.92512,2.92627,2.92542,2.92634
V11,2.08556,2.08114,2.09691,2.0886,2.09195,2.08883
V12,2.19249,2.20489,2.31432,2.17849,2.19948,2.21794
V13,1.58843,1.58861,1.61026,1.62778,1.58816,1.60065
V14,6.09299,6.0965,6.09385,6.21623,6.14251,6.12842
V15,0.38388,0.383626,0.383722,0.383833,0.386804,0.384373
V16,1.78682,1.74198,1.75938,1.76136,1.73663,1.75724
V17,0.73654,0.711125,0.740472,0.715235,0.726404,0.725955
V18,0.0510407,0.050986,0.0511158,0.0513142,0.0510275,0.0510968
V19,0.146385,0.150828,0.146392,0.146419,0.146382,0.147281
V20,0.0233804,0.0239681,0.0233668,0.0242236,0.0223579,0.0234593
V21,0.596653,0.596265,0.615,0.604674,0.597129,0.601944
V22,0.382767,0.382814,0.384715,0.381949,0.38588,0.383625
V23,0.189572,0.185616,0.183943,0.183724,0.187443,0.18606
V24,0.155833,0.153597,0.153801,0.158288,0.153762,0.155056
V25,0.107296,0.109146,0.106764,0.107371,0.108239,0.107763
V26,0.092745,0.0944781,0.0953385,0.0965351,0.0939139,0.0946021
V27,0.262622,0.249967,0.249749,0.271322,0.252367,0.257206
V28,0.0312919,0.0316652,0.0333888,0.0321203,0.031372,0.0319677
Amount,0.150061,0.138773,0.15452,0.130141,0.122155,0.13913
