feature,client_0,client_1,client_2,client_3,client_4,mean
Time,2.96411,2.94872,2.93516,2.98641,2.96594,2.96007
V1,4.34625,4.41415,4.34703,4.31883,4.32644,4.35054
V2,3.11354,3.04319,3.09826,3.07153,3.21995,3.10929
V3,0.203172,0.203659,0.199609,0.19937,0.200389,0.20124
V4,18.6153,19.3973,18.6119,18.6201,18.6594,18.7808
V5,0.849425,0.824909,0.827644,0.840954,0.835399,0.835666
V6,1.76187,1.75535,1.73575,1.78097,1.85131,1.77705
V7,0.198363,0.194575,0.193645,0.194759,0.196524,0.195573
V8,1.23036,1.28666,1.23222,1.22987,1.23776,1.24337
V9,0.387066,0.393738,0.386997,0.390829,0.388721,0.38947
V10,5.6445,5.83814,5.64191,5.64352,5.7009,5.69379
V11,3.22447,3.22665,3.22712,3.22957,3.22596,3.22675
V12,2.07987,1.98511,1.91131,1.98151,1.94949,1.98146
V13,4.45989,4.39669,4.40354,4.41994,4.40553,4.41712
V14,9.33331,9.46858,9.33023,9.79069,10.0116,9.58688
V15,1.04489,1.05459,1.04171,1.04016,1.04803,1.04588
V16,3.09342,3.03298,3.05365,3.03269,3.06681,3.05591
V17,0.241479,0.247928,0.234766,0.243665,0.234887,0.240545
V18,0.0284402,0.0283554,0.0283591,0.028347,0.0283706,0.0283745
V19,1.39813,1.39497,1.41658,1.39149,1.39612,1.39946
V20,0.014758,0.0154712,0.0165829,0.0145885,0.0158573,0.0154516
V21,1.05878,1.30115,1.03343,1.04814,1.03335,1.09497
V22,1.31822,1.31782,1.32438,1.31944,1.31269,1.31851
V23,0.25668,0.253442,0.253442,0.253518,0.257382,0.254893
V24,0.459027,0.4577,0.456003,0.463711,0.466851,0.460658
V25,0.490976,0.492951,0.492106,0.495408,0.491877,0.492663
V26,0.42747,0.418416,0.411272,0.41758,0.409022,0.416752
V27,0.270498,0.298536,0.269993,0.271802,0.272766,0.276719
V28,0.0969969,0.0926665,0.0927651,0.0948197,0.0956651,0.0945827
Amount,0.146481,0.186776,0.170024,0.139147,0.165254,0.161537
