feature,client_0,mean
Time,0.00695388,0.00695388
V1,0.00714725,0.00714725
V2,0.00182485,0.00182485
V3,0.0042042,0.0042042
V4,0.0970124,0.0970124
V5,0.00661569,0.00661569
V6,0.00535749,0.00535749
V7,0.0105348,0.0105348
V8,0.00636342,0.00636342
V9,0.00211786,0.00211786
V10,0.020964,0.020964
V11,0.00721627,0.00721627
V12,0.0204136,0.0204136
V13,0.00839029,0.00839029
V14,0.112619,0.112619
V15,0.00670562,0.00670562
V16,0.00757286,0.00757286
V17,0.0272422,0.0272422
V18,0.0032115,0.0032115
V19,0.0124518,0.0124518
V20,0.0191022,0.0191022
V21,0.0134925,0.0134925
V22,0.00430287,0.00430287
V23,0.00473937,0.00473937
V24,0.00234794,0.00234794
V25,0.00204805,0.00204805
V26,0.017114,0.017114
V27,0.00261547,0.00261547
V28,0.00546256,0.00546256
Amount,0.0274415,0.0274415
