feature,client_0,mean
Time,0.0211279,0.0211279
V1,0.0196935,0.0196935
V2,0.00214702,0.00214702
V3,0.0215374,0.0215374
V4,0.397362,0.397362
V5,0.00703124,0.00703124
V6,0.00996645,0.00996645
V7,0.0240651,0.0240651
V8,0.020158,0.020158
V9,0.0159662,0.0159662
V10,0.0263918,0.0263918
V11,0.046066,0.046066
V12,0.0774209,0.0774209
V13,0.0258997,0.0258997
V14,0.222674,0.222674
V15,0.00835571,0.00835571
V16,0.0143533,0.0143533
V17,0.0300771,0.0300771
V18,0.0119032,0.0119032
V19,0.0168453,0.0168453
V20,0.0244673,0.0244673
V21,0.0345052,0.0345052
V22,0.00805574,0.00805574
V23,0.0158746,0.0158746
V24,0.00768498,0.00768498
V25,0.0335193,0.0335193
V26,0.013558,0.013558
V27,0.0087934,0.0087934
V28,0.0113252,0.0113252
Amount,0.013674,0.013674
