feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.0436213,0.283099,0.033923,0.045223,0.0437434,0.0899219
amount,0.171888,0.714659,0.139264,0.145243,0.148748,0.26396
oldbalanceOrg,0.184191,1.02492,0.262225,0.185133,0.206993,0.372693
newbalanceOrig,0.0704452,0.33326,0.0784863,0.0781534,0.0681743,0.125704
oldbalanceDest,0.235305,0.320882,0.236687,0.224209,0.181381,0.239692
newbalanceDest,0.0272492,0.117462,0.0143485,0.0274107,0.0179976,0.0408936
errorBalanceOrig,0.543387,1.50391,0.58712,0.552879,0.548204,0.7471
errorBalanceDest,0.120038,0.744001,0.121194,0.146171,0.10989,0.248259
type_CASH_IN,0.62671,1.11768,0.706911,0.590401,0.594059,0.727153
type_CASH_OUT,0.0709983,0.150372,0.101431,0.0733856,0.0637274,0.0919828
type_DEBIT,0.00626326,0.0179847,0.015418,0.00657789,0.00666843,0.0105825
type_PAYMENT,1.01343,1.67006,1.00187,1.16551,1.02159,1.17449
type_TRANSFER,0.10358,0.357597,0.0638075,0.0698614,0.0730785,0.133585
