feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.127982,0.452372,0.0955087,0.0853566,0.102083,0.17266
amount,0.370862,2.64185,0.297734,0.349851,0.348353,0.80173
oldbalanceOrg,0.0663165,0.21035,0.0408412,0.053819,0.0465315,0.0835716
newbalanceOrig,0.134755,0.447053,0.130867,0.131082,0.107997,0.190351
oldbalanceDest,0.0437804,0.191734,0.0378463,0.0475722,0.0372978,0.0716461
newbalanceDest,0.0783149,0.123948,0.0805598,0.0743871,0.0714592,0.0857337
errorBalanceOrig,0.485018,1.77476,0.604507,0.544701,0.654319,0.81266
errorBalanceDest,0.148595,0.738158,0.167644,0.176858,0.137243,0.2737
type_CASH_IN,0.219031,0.672621,0.208463,0.229945,0.173675,0.300747
type_CASH_OUT,0.0384188,0.0797928,0.0509018,0.0397901,0.0479122,0.0513631
type_DEBIT,0.00673509,0.0232176,0.0219988,0.00703489,0.00705567,0.0132084
type_PAYMENT,1.10949,2.18539,1.25486,1.26242,1.18917,1.40026
type_TRANSFER,0.127788,0.502191,0.142709,0.103389,0.110746,0.197365
