feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.0270974,0.0147055,0.0216923,0.0270666,0.0222431,0.022561
amount,0.0693656,0.0544866,0.0604643,0.0718936,0.0641154,0.0640651
oldbalanceOrg,0.0459898,0.0330074,0.0451495,0.0456886,0.0534507,0.0446572
newbalanceOrig,0.29817,0.315371,0.285519,0.257861,0.250144,0.281413
oldbalanceDest,0.0461503,0.0405933,0.0439998,0.0435872,0.0470102,0.0442682
newbalanceDest,0.098655,0.121353,0.10456,0.0940473,0.101883,0.1041
errorBalanceOrig,1.26799,1.06643,1.08916,1.19516,1.06825,1.1374
errorBalanceDest,0.0425166,0.046723,0.0475849,0.0469101,0.0403144,0.0448098
type_CASH_IN,0.312169,0.361475,0.32244,0.332581,0.388569,0.343447
type_CASH_OUT,0.0547357,0.0661847,0.0649156,0.0553753,0.0588995,0.0600222
type_DEBIT,0.0250634,0.0383157,0.0242628,0.0249641,0.0248739,0.027496
type_PAYMENT,1.57506,1.15127,1.32029,1.58495,1.29011,1.38434
type_TRANSFER,0.0352284,0.0351789,0.0350702,0.0349926,0.0520716,0.0385083
