feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.638913,0.575801,0.480081,0.585436,0.443414,0.544729
amount,0.48679,0.44543,0.421063,0.510967,0.368807,0.446611
oldbalanceOrg,2.56679,2.59387,2.54176,2.70914,2.60058,2.60243
newbalanceOrig,0.603285,0.616874,0.627227,0.734589,0.589908,0.634377
oldbalanceDest,0.693694,0.471006,0.402269,0.262825,0.395696,0.445098
newbalanceDest,0.340021,0.387737,0.35118,0.398555,0.338215,0.363142
errorBalanceOrig,1.25455,1.08335,0.933268,1.0367,1.19557,1.10069
errorBalanceDest,1.06702,1.36126,1.15312,1.23919,0.997545,1.16363
type_CASH_IN,9.284,8.53131,7.91277,8.98401,8.34082,8.61058
type_CASH_OUT,0.209372,0.166571,0.285232,0.219511,0.271602,0.230458
type_DEBIT,0.171722,0.483265,0.165637,0.362867,0.382076,0.313113
type_PAYMENT,17.3539,18.1462,18.0052,17.5352,17.8762,17.7833
type_TRANSFER,0.293831,0.311099,0.173631,0.178113,0.323583,0.256051
