feature,client_0,client_1,client_2,client_3,client_4,mean
step,0.000860811,0.00179483,0.000270883,0.000350024,0.000305193,0.000716347
amount,0.00280585,0.0233496,0.00271298,0.00219745,0.00264558,0.0067423
oldbalanceOrg,0.00104709,0.0196199,0.000692502,0.0005388,0.000758469,0.00453134
newbalanceOrig,0.0300506,0.0700585,0.00740017,0.00803472,0.00590721,0.0242902
oldbalanceDest,0.000959437,0.00315628,0.00035055,0.000462979,0.00331071,0.00164799
newbalanceDest,0.00218495,0.00456194,0.00151005,0.0016356,0.00139687,0.00225788
errorBalanceOrig,0.0360247,0.123676,0.00717958,0.00836411,0.00527782,0.0361044
errorBalanceDest,0.000633133,0.00706666,7.88791e-05,0.000165408,0.0044133,0.00247148
type_CASH_IN,0.000700637,0.000659038,7.48436e-05,0.000187699,0.000150067,0.000354457
type_CASH_OUT,0.000742231,0.00059111,0.000244133,0.000292611,0.000250318,0.000424081
type_DEBIT,5.8527e-07,0,0.000111481,1.19023e-07,0,2.24371e-05
type_PAYMENT,0.00693568,0.0212587,0.00159855,0.00182669,0.00129491,0.00658291
type_TRANSFER,0.00384775,0.00894536,0.0027861,0.00291155,0.00242203,0.00418256
